SIMULATED EQUIVALENT  """OBSERVED VALUE"""  """OBSERVATION NAME"""
53  51  w1_03032014
53  51  w1_04302014
53  51  w1_06052014
53  51  w1_07032014
52  51  w1_07302014
52  51  w1_08272014
79  104  W2_10231990
79  104  W2_11161990
79  104  W2_12191990
79  104  W2_01041991
79  104  W2_02051991
79  103  W2_03051991
79  105  W2_03181991
79  106  W2_03201991
79  107  W2_03211991
79  107  W2_03251991
79  108  W2_04021991
79  108  W2_04091991
79  108  W2_04181991
79  108  W2_05061991
79  108  W2_05161991
79  107  W2_05231991
79  107  W2_05301991
79  107  W2_06061991
79  107  W2_06201991
79  107  W2_07051991
79  107  W2_08061991
79  107  W2_09041991
79  107  W2_10021991
79  107  W2_11151991
79  106  W2_12091991
79  107  W2_12311991
79  107  W2_01061992
79  106  W2_02051992
79  108  W2_03021992
79  105  W2_03121992
79  108  W2_04021992
79  108  W2_05081992
79  107  W2_06091992
79  107  W2_07071992
79  107  W2_08101992
79  107  W2_09101992
79  106  W2_10191992
79  106  W2_11111992
79  106  W2_12021992
79  106  W2_12291992
79  107  W2_01041993
79  108  W2_01141993
79  109  W2_01251993
79  109  W2_03031993
79  108  W2_04021993
79  108  W2_05041993
79  108  W2_06091993
79  107  W2_06291993
79  107  W2_07281993
79  107  W2_08301993
79  106  W2_09291993
79  106  W2_11021993
79  106  W2_11291993
79  105  W2_01061994
79  105  W2_01201994
79  107  W2_02231994
79  107  W2_03231994
79  107  W2_04271994
78  107  W2_05281994
78  107  W2_06291994
78  106  W2_07271994
78  106  W2_08301994
78  105  W2_09281994
78  105  W2_10241994
78  104  W2_11291994
78  104  W2_12291994
78  108  W2_01251995
78  108  W2_02271995
78  109  W2_03151995
78  109  W2_03291995
78  108  W2_04261995
78  108  W2_05301995
78  108  W2_06301995
78  108  W2_07281995
78  107  W2_09051995
78  107  W2_10051995
78  107  W2_10311995
78  107  W2_11271995
78  108  W2_12261995
78  108  W2_02061996
78  108  W2_02281996
78  108  W2_03291996
78  108  W2_04291996
78  107  W2_07011996
78  107  W2_07251996
78  107  W2_08291996
78  107  W2_09271996
78  107  W2_11011996
78  107  W2_11181996
78  107  W2_11211996
78  107  W2_11221996
78  107  W2_11251996
78  107  W2_11261996
78  107  W2_11281996
78  107  W2_11301996
78  107  W2_12011996
78  107  W2_12031996
78  107  W2_12051996
78  107  W2_12081996
78  107  W2_12101996
78  108  W2_12111996
78  108  W2_12131996
78  108  W2_12161996
78  108  W2_12181996
78  108  W2_12271996
78  108  W2_01071997
78  109  W2_01311997
78  108  W2_02271997
78  108  W2_03281997
78  108  W2_04281997
78  107  W2_05291997
78  107  W2_07091997
78  107  W2_08051997
78  107  W2_08281997
1  10  w3_10231990
1  10  w3_11261990
1  10  w3_12191990
1  10  w3_01041991
1  11  w3_02051991
1  15  w3_03061991
1  16  w3_03181991
1  15  w3_04021991
1  14  w3_04091991
1  14  w3_04181991
1  15  w3_05061991
1  13  w3_07051991
1  13  w3_08061991
2  12  w3_09041991
2  12  w3_10021991
2  12  w3_11151991
3  12  w3_12121991
3  16  w3_01061992
3  14  w3_02051992
4  18  w3_03021992
4  19  w3_04021992
5  15  w3_05081992
7  13  w3_07071992
8  13  w3_08201992
8  13  w3_09101992
8  13  w3_10191992
8  13  w3_11121992
8  13  w3_12021992
8  15  w3_12311992
8  22  w3_01251993
8  22  w3_03031993
8  22  w3_04021993
8  22  w3_05041993
8  15  w3_06091993
7  14  w3_06291993
7  14  w3_07301993
7  14  w3_08301993
7  12  w3_10141993
7  13  w3_11021993
7  14  w3_11291993
7  13  w3_01071994
6  14  w3_01201994
6  16  w3_03231994
6  14  w3_04271994
6  14  w3_05281994
6  13  w3_07011994
6  13  w3_07281994
6  13  w3_09011994
6  13  w3_09291994
