"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   5.39115028381E+01   5.13600006104E+01  w1_06021999 
   5.38491477966E+01   5.12599983215E+01  w1_07011999 
   5.38168716431E+01   5.12299995422E+01  w1_07271999 
   5.37922286987E+01   5.11800003052E+01  w1_08311999 
   5.37879028320E+01   5.11800003052E+01  w1_10081999 
   5.38592453003E+01   5.12200012207E+01  w1_10281999 
   5.39595489502E+01   5.12000007629E+01  w1_11301999 
   5.39109458923E+01   5.15299987793E+01  w1_01052000 
   5.42940635681E+01   5.15299987793E+01  w1_01312000 
   5.37923202515E+01   5.18100013733E+01  w1_02252000 
   5.40831146240E+01   5.14000015259E+01  w1_04032000 
   5.35058822632E+01   5.13800010681E+01  w1_04252000 
   5.39439315796E+01   5.12700004578E+01  w1_05312000 
   5.38624496460E+01   5.11800003052E+01  w1_06282000 
   5.38224868774E+01   5.11500015259E+01  w1_07312000 
   5.37944374084E+01   5.11300010681E+01  w1_08292000 
   5.37826538086E+01   5.11300010681E+01  w1_10032000 
   5.38090782166E+01   5.11500015259E+01  w1_10312000 
   5.40358581543E+01   5.11599998474E+01  w1_11302000 
   5.42708854675E+01   5.11899986267E+01  w1_12202000 
   5.42194519043E+01   5.13100013733E+01  w1_02022001 
   5.41588783264E+01   5.13800010681E+01  w1_02282001 
   5.40750389099E+01   5.13499984741E+01  w1_04052001 
   5.40188140869E+01   5.13400001526E+01  w1_05012001 
   5.39316329956E+01   5.12299995422E+01  w1_05242001 
   5.37589340210E+01   5.11500015259E+01  w1_07092001 
   5.37422523499E+01   5.10800018311E+01  w1_07232001 
   5.37063255310E+01   5.10800018311E+01  w1_08302001 
   5.36894416809E+01   5.10800018311E+01  w1_09272001 
   5.38882980347E+01   5.11300010681E+01  w1_11082001 
   5.40549316406E+01   5.12000007629E+01  w1_11302001 
   5.44583320618E+01   5.12999992371E+01  w1_12202001 
   5.42669677734E+01   5.13499984741E+01  w1_01302002 
   5.42359275818E+01   5.12900009155E+01  w1_03042002 
   5.42922821045E+01   5.13600006104E+01  w1_03262002 
   5.43003425598E+01   5.13199996948E+01  w1_04262002 
   5.41000251770E+01   5.12200012207E+01  w1_05282002 
   5.39290809631E+01   5.11599998474E+01  w1_06252002 
   5.37815170288E+01   5.10900001526E+01  w1_07292002 
   5.37429351807E+01   5.10699996948E+01  w1_08282002 
   5.37263450623E+01   5.10600013733E+01  w1_10022002 
   5.37752876282E+01   5.11800003052E+01  w1_11072002 
   5.38107566833E+01   5.11800003052E+01  w1_12022002 
   5.44758567810E+01   5.17299995422E+01  w1_12302002 
   5.43266334534E+01   5.14000015259E+01  w1_01302003 
   5.45075149536E+01   5.13600006104E+01  w1_02242003 
   5.43642845154E+01   5.13400001526E+01  w1_03262003 
   5.41268539429E+01   5.14399986267E+01  w1_04292003 
   5.40065765381E+01   5.13300018311E+01  w1_05272003 
   5.38837356567E+01   5.12200012207E+01  w1_06262003 
   5.37790603638E+01   5.13400001526E+01  w1_07292003 
   5.37372856140E+01   5.11100006104E+01  w1_08282003 
   5.37281570435E+01   5.11399993896E+01  w1_09262003 
   5.38619194031E+01   5.11300010681E+01  w1_10252003 
   5.39764137268E+01   5.11300010681E+01  w1_11262003 
   5.40094146729E+01   5.11899986267E+01  w1_12222003 
   5.45490455627E+01   5.13100013733E+01  w1_01262004 
   5.47697868347E+01   5.15200004578E+01  w1_02232004 
   5.47521591187E+01   5.13300018311E+01  w1_04012004 
   5.44867591858E+01   5.11800003052E+01  w1_04302004 
   5.42555351257E+01   5.12200012207E+01  w1_05272004 
   5.40783233643E+01   5.11399993896E+01  w1_06292004 
   5.39122467041E+01   5.11100006104E+01  w1_08042004 
   5.38551139832E+01   5.08300018311E+01  w1_08302004 
   5.38312568665E+01   5.08699989319E+01  w1_09292004 
   5.38362617493E+01   5.08499984741E+01  w1_10272004 
   5.38620643616E+01   5.09700012207E+01  w1_12012004 
   5.41685523987E+01   5.11800003052E+01  w1_12282004 
   5.43465156555E+01   5.15099983215E+01  w1_02092005 
   5.43042678833E+01   5.23800010681E+01  w1_02272005 
   5.47306861877E+01   5.18699989319E+01  w1_03302005 
   5.47156066895E+01   5.14900016785E+01  w1_05022005 
   5.44156455994E+01   5.13699989319E+01  w1_05262005 
   5.41258316040E+01   5.09599990845E+01  w1_06302005 
   5.39553680420E+01   5.11899986267E+01  w1_07282005 
   5.39135475159E+01   5.09099998474E+01  w1_08312005 
   5.38814735413E+01   5.11199989319E+01  w1_09282005 
   5.38740501404E+01   5.11399993896E+01  w1_10282005 
   5.39199790955E+01   5.11599998474E+01  w1_12062005 
   5.41060180664E+01   5.16899986267E+01  w1_01062006 
   5.40838432312E+01   5.14199981689E+01  w1_02012006 
   5.42911567688E+01   5.18800010681E+01  w1_03022006 
   5.41460456848E+01   5.18199996948E+01  w1_03292006 
   5.40380439758E+01   5.17299995422E+01  w1_04262006 
   5.38911781311E+01   5.14900016785E+01  w1_05252006 
   5.37375984192E+01   5.13699989319E+01  w1_07062006 
