Gage_Name, Gage_No, Threshold_cfs, Oct_ExtWet, Nov_ExtWet, Dec_ExtWet, Jan_ExtWet, Feb_ExtWet, Mar_ExtWet, Apr_ExtWet, May_ExtWet, Jun_ExtWet, Jul_ExtWet, Aug_ExtWet, Sep_ExtWet,Oct_Wet, Nov_Wet, Dec_Wet, Jan_Wet, Feb_Wet, Mar_Wet, Apr_Wet, May_Wet, Jun_Wet, Jul_Wet, Aug_Wet, Sep_Wet,Oct_AboveNorm, Nov_AboveNorm, Dec_AboveNorm, Jan_AboveNorm, Feb_AboveNorm, Mar_AboveNorm, Apr_AboveNorm, May_AboveNorm, Jun_AboveNorm, Jul_AboveNorm, Aug_AboveNorm, Sep_AboveNorm,Oct_Norm, Nov_Norm, Dec_Norm, Jan_Norm, Feb_Norm, Mar_Norm, Apr_Norm, May_Norm, Jun_Norm, Jul_Norm, Aug_Norm, Sep_Norm,Oct_BelowNorm, Nov_BelowNorm, Dec_BelowNorm, Jan_BelowNorm, Feb_BelowNorm, Mar_BelowNorm, Apr_BelowNorm, May_BelowNorm, Jun_BelowNorm, Jul_BelowNorm, Aug_BelowNorm, Sep_BelowNorm,Oct_Dry, Nov_Dry, Dec_Dry, Jan_Dry, Feb_Dry, Mar_Dry, Apr_Dry, May_Dry, Jun_Dry, Jul_Dry, Aug_Dry, Sep_Dry,Oct_CritDry, Nov_CritDry, Dec_CritDry, Jan_CritDry, Feb_CritDry, Mar_CritDry, Apr_CritDry, May_CritDry, Jun_CritDry, Jul_CritDry, Aug_CritDry, Sep_CritDry,
ALP,17,20,19.74, 11.31, 9.88, 8.89, 7.96, 8.52, 8.47, 8.52, 8.47, 1.66,  NaN,  NaN, 9.51, 13.26, 10.49, 8.52, 8.04, 8.52, 8.47, 8.51, 8.25,  NaN,  NaN,  NaN, 7.50, 12.41, 8.46, 8.22, 8.09, 8.52, 7.75, 8.52, 6.81,  NaN,  NaN,  NaN, 23.84, 6.89, 9.27, 9.80, 8.31, 8.52, 8.47, 8.37, 12.07,  NaN,  NaN,  NaN,  NaN, 10.22, 9.11, 8.52, 8.15, 8.52, 8.47, 8.95,  NaN,  NaN,  NaN,  NaN, 15.75, 3.45, 7.71, 9.23, 6.96, 8.72, 8.25, 4.89, 1.65,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 14.16, 8.45, 9.91,  NaN,  NaN,  NaN,  NaN,  NaN, 
BL,1,20, NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.02,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
CA,16,20, NaN, 5.01, 2.25, 1.74, 2.09, 3.19, 1.50,  NaN,  NaN,  NaN,  NaN,  NaN, 1.21, 1.22, 2.43, 1.03, 1.73, 1.49, 2.62, 1.49,  NaN,  NaN,  NaN,  NaN, 1.75, 1.44, 1.85, 2.64, 1.72, 2.63, 2.07,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 2.69, 2.84, 2.05, 1.62, 2.75,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.36, 2.24, 1.61, 3.31,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.92, 1.19, 1.99, 3.61,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.35, 0.11,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
CL,14,20, NaN, 5.32, 2.73, 2.35, 1.99, 2.16, 2.13, 1.86, 0.08,  NaN,  NaN,  NaN, 0.82, 0.72, 2.08, 1.78, 2.21, 2.17, 1.92, 1.69, 5.43,  NaN,  NaN,  NaN, 1.45, 1.04, 2.22, 2.12, 2.02, 2.10, 1.39, 1.98,  NaN,  NaN,  NaN,  NaN,  NaN, 3.47, 2.98, 3.53, 1.76, 2.10, 1.47, 2.52,  NaN,  NaN,  NaN,  NaN,  NaN, 0.88, 2.90, 1.10, 1.71, 1.70,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.08, 1.89, 1.34, 2.81, 1.98, 0.96,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.18, 0.08, 0.08,  NaN,  NaN,  NaN,  NaN,  NaN, 
CR_blw_PI,56,20,3.76, 4.25, 3.31, 3.39, 3.22, 3.31, 3.29, 3.31, 3.29, 1.52,  NaN,  NaN, 2.17, 4.76, 3.83, 3.23, 3.23, 3.31, 3.29, 3.31, 3.31,  NaN,  NaN,  NaN, 1.74, 4.50, 3.02, 3.35, 3.24, 3.31, 3.48, 3.46, 3.11,  NaN,  NaN,  NaN, 4.01, 2.34, 3.46, 3.33, 3.24, 3.31, 3.29, 3.44, 3.90,  NaN,  NaN,  NaN,  NaN, 4.02, 3.45, 3.31, 3.25, 3.31, 3.29, 3.98,  NaN,  NaN,  NaN,  NaN, 6.26, 2.08, 3.35, 3.57, 2.91, 3.17, 3.38, 3.03, 10.80,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.32, 4.01, 4.02,  NaN,  NaN,  NaN,  NaN,  NaN, 
Carmel_blw_Cachagua,62,20, NaN, 5.72, 4.84, 4.88, 4.85, 4.84, 4.86, 4.84, 4.86, 4.27,  NaN,  NaN, 1.63, 5.69, 4.92, 4.68, 4.85, 4.84, 4.86, 4.84, 5.38,  NaN,  NaN,  NaN, 3.83, 5.25, 4.48, 4.53, 4.86, 4.84, 4.83, 4.84, 5.35,  NaN,  NaN,  NaN, 4.77, 5.07, 5.08, 4.48, 4.86, 4.84, 4.86, 5.20, 5.90,  NaN,  NaN,  NaN,  NaN, 4.76, 5.19, 4.84, 4.86, 4.84, 4.86, 5.87,  NaN,  NaN,  NaN,  NaN,  NaN, 5.27, 5.52, 4.53, 4.40, 4.56, 4.93, 4.79, 5.94,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.99, 5.94, 5.88,  NaN,  NaN,  NaN,  NaN,  NaN, 
DJ,9,20,4.82, 5.50, 4.58, 4.57, 3.70, 4.57, 4.38, 4.57, 4.38, 2.55,  NaN,  NaN, 7.03, 7.92, 5.27, 4.64, 3.79, 4.57, 4.38, 4.57, 3.61, 0.00,  NaN,  NaN, 8.34, 2.98, 5.00, 5.27, 3.85, 4.57, 3.59, 4.57, 3.26,  NaN,  NaN,  NaN, 19.45, 4.42, 6.65, 5.13, 3.85, 4.57, 4.38, 3.84, 1.59,  NaN,  NaN,  NaN,  NaN, 4.26, 4.64, 4.57, 3.92, 4.57, 4.38, 2.58,  NaN,  NaN,  NaN,  NaN, 3.24, 2.73, 3.67, 6.66, 3.95, 4.62, 4.17, 3.60, 11.33, 13.11,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.50, 2.30, 5.46, 0.00,  NaN,  NaN,  NaN,  NaN, 
GA,8,20, NaN, 7.11, 1.75, 1.26, 1.45, 2.54, 1.06, 3.41, 0.78,  NaN,  NaN,  NaN, 5.28, 0.38, 2.80, 1.03, 1.59, 3.07, 1.22, 1.32, 8.84,  NaN,  NaN,  NaN, 0.93, 0.60, 1.33, 2.08, 2.18, 2.39, 0.97,  NaN,  NaN,  NaN,  NaN,  NaN, 3.19, 3.78, 2.37, 3.81, 1.58, 2.48, 2.19, 1.69,  NaN,  NaN,  NaN,  NaN,  NaN, 6.25, 2.50, 0.60, 2.06, 0.72,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.64, 1.75, 2.95, 1.26, 1.97, 3.33, 1.60,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 3.27, 0.05, 0.05,  NaN,  NaN,  NaN,  NaN,  NaN, 
GC,7,20, NaN, 3.35, 0.90, 0.66, 0.91, 1.04, 0.76,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.02, 0.34, 0.61, 0.37, 0.49,  NaN,  NaN,  NaN,  NaN,  NaN, 0.68,  NaN, 0.77, 1.07, 0.68,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.33, 1.13, 1.17, 0.56, 0.90,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.46, 0.05, 1.91,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.44,  NaN, 0.79,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.05,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
H1,2,20,0.26, 0.58, 0.25, 0.37, 0.36, 0.36, 0.37, 0.36, 0.37, 0.21,  NaN,  NaN, 0.65, 0.61, 0.37, 0.36, 0.36, 0.36, 0.37, 0.36, 0.24, 0.00,  NaN,  NaN, 0.31, 0.21, 0.41, 0.46, 0.36, 0.36, 0.28, 0.36, 0.11,  NaN,  NaN,  NaN, 0.09, 0.27, 0.43, 0.49, 0.38, 0.36, 0.37, 0.30, 0.13,  NaN,  NaN,  NaN,  NaN, 0.50, 0.40, 0.36, 0.37, 0.36, 0.37, 0.14,  NaN,  NaN,  NaN,  NaN, 0.14, 0.20, 0.33, 0.58, 0.39, 0.39, 0.32, 0.25,  NaN, 0.33,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.33, 0.11, 0.19,  NaN,  NaN,  NaN,  NaN,  NaN, 
HI,10,20, NaN,  NaN,  NaN, 0.33, 0.24, 0.29,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.23,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
LA,3,20,0.29, 0.75, 0.32, 0.46, 0.44, 0.46, 0.46, 0.46, 0.46, 0.20,  NaN,  NaN, 0.83, 0.76, 0.56, 0.46, 0.44, 0.46, 0.46, 0.46, 0.34, 0.00,  NaN,  NaN, 0.49, 0.28, 0.53, 0.58, 0.45, 0.46, 0.34, 0.46, 0.29,  NaN,  NaN,  NaN, 0.58, 0.31, 0.59, 0.60, 0.46, 0.46, 0.46, 0.36, 0.12,  NaN,  NaN,  NaN,  NaN, 0.64, 0.52, 0.46, 0.45, 0.46, 0.46, 0.15,  NaN,  NaN,  NaN,  NaN, 0.17, 0.27, 0.42, 0.82, 0.47, 0.48, 0.40, 0.28,  NaN, 0.66,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.66, 0.14, 0.23,  NaN,  NaN,  NaN,  NaN,  NaN, 
Los_Padres_Res,63,20, NaN, 0.00, 2.32, 2.24, 2.57, 2.32, 2.40, 2.32, 2.40, 2.83,  NaN,  NaN,  NaN, 0.00, 0.76, 2.09, 2.55, 2.32, 2.40, 2.34, 3.36,  NaN,  NaN,  NaN, 4.00,  NaN, 1.71, 1.32, 2.54, 2.32, 2.64, 2.32, 3.51,  NaN,  NaN,  NaN,  NaN, 4.00, 0.67, 1.42, 2.49, 2.32, 2.40, 2.92, 3.85,  NaN,  NaN,  NaN,  NaN,  NaN, 1.16, 2.32, 2.53, 2.32, 2.40, 3.60,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.94, 1.55, 2.39, 1.97, 2.67, 2.11, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.00, 3.33,  NaN,  NaN,  NaN,  NaN,  NaN, 
NC,4,20,0.22, 0.58, 0.19, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.14,  NaN,  NaN, 0.60, 0.56, 0.41, 0.33, 0.34, 0.33, 0.33, 0.33, 0.20, 0.00,  NaN,  NaN, 0.28, 0.20, 0.37, 0.42, 0.34, 0.33, 0.25, 0.33, 0.09,  NaN,  NaN,  NaN, 0.07, 0.20, 0.39, 0.45, 0.34, 0.33, 0.33, 0.26, 0.09,  NaN,  NaN,  NaN,  NaN, 0.47, 0.37, 0.33, 0.34, 0.33, 0.33, 0.11,  NaN,  NaN,  NaN,  NaN, 0.12, 0.18, 0.31, 0.53, 0.36, 0.35, 0.29, 0.21,  NaN, 0.26,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.26, 0.09, 0.14,  NaN,  NaN,  NaN,  NaN,  NaN, 
Narrows,61,20,3.90, 5.26, 4.33, 4.33, 3.43, 4.33, 4.13, 4.33, 4.13, 2.21,  NaN,  NaN, 6.89, 7.79, 5.05, 4.40, 3.52, 4.33, 4.13, 4.33, 3.32, 0.00,  NaN,  NaN, 8.31, 3.93, 4.79, 5.07, 3.58, 4.33, 3.34, 4.33, 2.99,  NaN,  NaN,  NaN, 18.81, 4.03, 6.43, 4.88, 3.58, 4.33, 4.13, 3.58, 1.32,  NaN,  NaN,  NaN,  NaN, 4.05, 4.40, 4.33, 3.66, 4.33, 4.13, 2.01,  NaN,  NaN,  NaN,  NaN, 2.70, 2.50, 3.57, 6.52, 3.63, 4.36, 3.92, 3.29, 10.97, 13.26,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 3.91, 1.96, 5.16, 0.00,  NaN,  NaN,  NaN,  NaN, 
PI,15,20, NaN, 3.69, 2.05, 1.40, 1.21, 1.49, 1.24, 1.60,  NaN,  NaN,  NaN,  NaN, 0.56, 0.49, 1.45, 0.86, 1.72, 1.41, 1.06, 0.49,  NaN,  NaN,  NaN,  NaN, 0.94,  NaN, 0.97, 1.48, 1.43, 1.13, 0.97,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 2.18, 1.71, 1.84, 1.38, 1.19, 1.02,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.62, 1.07, 1.40, 1.38, 1.40,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.98, 1.52, 1.22, 1.61,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.21,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
PO,5,20, NaN,  NaN,  NaN, 0.53, 0.52, 0.31, 0.34,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.27, 0.82,  NaN, 0.49,  NaN,  NaN,  NaN,  NaN,  NaN, 0.30,  NaN,  NaN, 2.23,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.97,  NaN, 0.78, 0.26,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.74,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.42,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 
