Gage, Year, Month, Cutoff Low (cfs), Cutoff High (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,  2009,    11,     0,    20,   6.07,  6.38, 11.47,  0.82,     30, -0.36727
H1,  2009,    12,    20,   200,  67.54, 34.82, 73.50, 42.85,     20, 0.29129
H1,  2009,    12,     0,    20,   6.99,  6.99, 13.55,  2.98,     11, 0.91301
H1,  2009,     1,     0,    20,  29.52, 26.22,  0.00,  0.00,     31, 
H1,  2009,     2,   200,   500, 933.82,158.13,319.80, 82.57,     10, 0.36606
H1,  2009,     2,     0,    20,  50.13,  7.25,  0.39,  1.50,     15, 0.27603
H1,  2009,     3,   200,   500, 414.53,164.61,306.27, 90.10,     11, 0.18882
H1,  2009,     3,    20,   200, 222.80, 29.99,141.31, 31.63,     16, 0.94588
H1,  2009,     4,    20,   200, 111.91, 33.30, 63.13, 17.47,     30, 0.82319
H1,  2009,     5,    20,   200,  49.42, 18.81, 32.08, 10.96,     26, 0.75267
H1,  2009,     5,     0,    20,  19.85,  1.90, 17.17,  2.14,      6, 0.97367
H1,  2009,     6,     0,    20,   5.12,  5.21, 10.37,  4.70,     30, 0.85496
H1,  2009,     7,     0,    20,   0.01,  0.01,  0.41,  0.43,     31, 0.87005
H1,  2009,     8,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2009,     9,     0,    20,   0.00,  0.00,  0.00,  0.00,     30, 
H1,  2010,    10,     0,    20,   1.48,  2.34,  1.47,  2.15,     31, 0.89189
H1,  2010,    11,     0,    20,  51.60, 80.38,  8.30,  3.59,     30, 0.88821
H1,  2010,    12,   200,   500, 147.64, 69.96,282.25, 50.53,      8, -0.3411
H1,  2010,    12,    20,   200, 148.67, 63.55,150.20, 65.07,      5, 0.97215
H1,  2010,    12,     0,    20,  36.73, 26.62, 16.44,  2.55,     18, -0.41376
H1,  2010,     1,   200,   500, 755.24, 58.67,396.00, 59.30,      4, 0.033351
H1,  2010,     1,    20,   200,  29.18,  6.86, 44.78, 17.46,     18, 0.15556
H1,  2010,     2,   200,   500, 344.41,131.00,305.88, 76.19,     26, -0.014703
H1,  2010,     3,   200,   500, 652.85,346.76,318.29, 88.89,     17, 0.96031
H1,  2010,     3,    20,   200, 275.08, 42.96,181.38, 11.65,      8, 0.97024
H1,  2010,     4,   200,   500, 317.36,173.82,307.96, 66.69,     23, 0.2489
H1,  2010,     4,    20,   200, 216.04,  7.71,169.00, 14.88,      5, 0.93062
H1,  2010,     5,   200,   500, 317.75, 63.54,214.75, 11.53,      4, -0.98698
H1,  2010,     5,    20,   200, 140.83, 60.48,133.56, 30.61,     27, 0.79699
H1,  2010,     6,    20,   200,  44.47, 20.78, 57.63, 13.82,     30, 0.98099
H1,  2010,     7,    20,   200,   6.69,  4.14, 26.44,  4.35,     16, 0.99214
H1,  2010,     7,     0,    20,   0.99,  0.13, 14.17,  3.33,     16, 0.28841
H1,  2010,     8,     0,    20,   0.50,  0.24,  4.21,  2.81,     31, 0.93524
H1,  2010,     9,     0,    20,   0.12,  0.09,  0.13,  0.09,     30, -0.20875
H1,  2011,    10,     0,    20,  22.60, 15.61,  9.86,  2.63,     31, 0.85531
H1,  2011,    11,     0,    20,  20.35, 14.48, 14.23,  2.31,     30, 0.45056
H1,  2011,    12,     0,    20,  12.75,  6.73, 13.42,  1.03,     31, -0.27327
H1,  2011,     1,   200,   500, 263.13, 55.29,277.83, 68.17,      6, 0.95986
H1,  2011,     1,    20,   200, 142.03, 56.52,101.45, 36.07,     22, 0.9459
H1,  2011,     2,   200,   500, 772.84,473.03,364.75, 69.82,      4, 0.79499
H1,  2011,     2,    20,   200,  61.88,  4.71, 61.44, 16.21,     16, 0.32682
H1,  2011,     3,   200,   500, 282.33,151.15,306.87, 81.98,     15, 0.79183
H1,  2011,     3,    20,   200, 192.33,  2.95,185.75,  5.25,      4, 0.47195
H1,  2011,     4,   200,   500, 297.11, 80.03,306.00, 91.54,     17, 0.94412
H1,  2011,     4,    20,   200, 186.70, 29.66,161.89, 18.31,      9, 0.95887
H1,  2011,     5,    20,   200,  94.93, 21.64,100.13, 16.07,     31, 0.56453
H1,  2011,     6,    20,   200,  99.59, 69.34, 78.28, 26.13,     29, 0.63439
H1,  2011,     7,    20,   200,   8.49,  5.52, 34.37,  8.12,     30, 0.90346
H1,  2011,     8,     0,    20,   3.09,  0.25, 10.14,  4.96,     31, 0.87236
H1,  2011,     9,     0,    20,   2.48,  0.16,  3.80,  0.68,     30, -0.62654
H1,  2012,    10,     0,    20,   0.02,  0.04,  0.16,  0.23,     31, 0.018629
H1,  2012,    11,     0,    20,   4.63,  5.02,  1.02,  3.61,     30, 0.27535
H1,  2012,    12,   200,   500, 214.19,206.94,319.00, 76.69,      9, -0.10928
H1,  2012,    12,    20,   200, 295.00,206.84, 65.74, 41.98,     19, 0.35962
H1,  2012,     1,    20,   200, 138.10,105.69, 46.64, 11.89,     11, 0.020185
H1,  2012,     1,     0,    20,   4.84,  0.61, 11.60,  1.10,     20, 0.30525
