Gage, Year, Month, Cutoff Low (cfs), Cutoff High (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,  2012,     2,    20,   200,  47.73, 18.88, 24.29,  5.12,     14, 0.73764
H1,  2012,     2,     0,    20,  36.12,  9.34, 17.72,  1.53,     18, 0.0020028
H1,  2012,     3,    20,   200, 236.71,152.11, 77.15, 36.25,     20, 0.66688
H1,  2012,     3,     0,    20,  19.59,  7.06, 15.00,  1.84,     11, 0.43493
H1,  2012,     4,    20,   200, 184.17, 52.32,100.30, 32.84,     30, 0.18385
H1,  2012,     5,    20,   200,  64.28, 22.13, 35.35, 11.27,     20, 0.99087
H1,  2012,     5,     0,    20,  27.57,  6.21, 15.58,  2.78,     12, 0.8175
H1,  2012,     6,     0,    20,   6.69,  5.69,  5.00,  3.03,     30, 0.96876
H1,  2012,     7,     0,    20,   0.07,  0.11,  0.65,  0.24,     31, 0.49102
H1,  2012,     8,     0,    20,   0.01,  0.00,  0.26,  0.12,     31, 0.25566
H1,  2012,     9,     0,    20,   0.01,  0.00,  0.05,  0.07,     30, 0.53026
H1,  2013,    10,     0,    20,   0.01,  0.04,  0.00,  0.00,     31, 
H1,  2013,    11,     0,    20,   0.02,  0.06,  0.01,  0.04,     30, -0.050375
H1,  2013,    12,     0,    20,   0.01,  0.04,  0.00,  0.01,     31, -0.036244
H1,  2013,     1,    20,   200, 168.65, 32.84,114.42, 39.89,     31, 0.024478
H1,  2013,     2,    20,   200,  92.02,  9.30, 46.25,  7.27,     28, 0.81928
H1,  2013,     3,    20,   200,  71.40, 13.69, 28.08,  5.66,     25, 0.66771
H1,  2013,     3,     0,    20,  41.85,  4.80, 18.44,  1.33,      9, 0.8953
H1,  2013,     4,    20,   200,  41.97,  5.81, 25.00,  6.75,      5, -0.024913
H1,  2013,     4,     0,    20,  30.67, 10.61, 11.30,  5.33,     27, 0.88276
H1,  2013,     5,     0,    20,   5.83,  1.65,  1.06,  1.19,     31, 0.92051
H1,  2013,     6,     0,    20,   1.48,  1.51,  0.03,  0.06,     30, 0.36647
H1,  2013,     7,     0,    20,   0.01,  0.00,  0.00,  0.00,     31, 
H1,  2013,     8,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2013,     9,     0,    20,   0.00,  0.00,  0.00,  0.00,     30, 
H1,  2014,    10,     0,    20,   0.00,  0.00,  0.03,  0.18,     31, -0.074138
H1,  2014,    11,     0,    20,   4.27,  8.27,  0.02,  0.09,     30, -0.097504
H1,  2014,    12,    20,   200, 382.48,398.94, 80.26, 47.66,     19, 0.48093
H1,  2014,    12,     0,    20,  67.69, 36.94,  1.14,  3.28,     11, 0.18265
H1,  2014,     1,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2014,     2,     0,    20,  12.77, 35.42,  0.23,  0.70,     28, 0.76119
H1,  2014,     3,     0,    20,  97.90,150.42,  0.16,  0.42,     31, 0.19399
H1,  2014,     4,     0,    20,  61.29, 79.03,  0.05,  0.19,     30, -0.094458
H1,  2014,     5,     0,    20,   4.30,  2.07,  0.00,  0.00,     31, 
H1,  2014,     6,     0,    20,   0.76,  1.02,  0.00,  0.00,     30, 
H1,  2014,     7,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2014,     8,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2014,     9,     0,    20,   0.00,  0.00,  0.00,  0.00,     30, 
H1,  2015,     1,    20,   200,  87.37,  2.42, 23.33,  3.27,      6, 0.94808
H1,  2015,     1,     0,    20,  47.45, 17.95, 14.31,  3.44,     27, 0.95313
H1,  2015,     2,   200,   500, 269.62, 50.05,272.00, 83.14,      3, 0.27494
H1,  2015,     2,    20,   200, 168.23,105.82, 93.37, 42.87,     19, 0.80469
H1,  2015,     2,     0,    20,  22.34,  1.18,  8.18,  0.52,      6, 0.99343
H1,  2015,     3,    20,   200,  78.03, 18.53, 34.00, 10.11,     21, 0.27797
H1,  2015,     3,     0,    20,  39.35,  6.79, 15.82,  3.06,     11, 0.98679
H1,  2015,     4,     0,    20,  62.53, 48.21,  9.30,  2.98,     29, 0.4546
H1,  2015,     5,     0,    20,  14.31,  8.26,  6.56,  2.11,     31, 0.05244
H1,  2015,     6,     0,    20,   1.61,  1.94,  1.11,  1.44,     30, 0.85335
H1,  2015,     7,     0,    20,   0.78,  4.34,  0.04,  0.21,     31, -0.037385
H1,  2015,     8,     0,    20,   0.00,  0.00,  0.00,  0.00,     31, 
H1,  2015,     9,     0,    20,   0.00,  0.00,  0.00,  0.00,     30, 
ALP,  1995,     1,   200,   500, 324.15,248.26,348.64, 64.73,     11, 0.26929
ALP,  1995,     1,    20,   200, 187.27,164.43,159.33, 16.62,      3, -0.86653
ALP,  1995,     3,   200,   500, 284.41, 73.76,352.36, 51.25,     11, 0.72763
ALP,  1995,     3,    20,   200, 130.97, 46.63,124.13, 36.07,      8, 0.34564
ALP,  1995,     4,   200,   500, 192.88, 16.20,249.86, 30.68,      7, 0.96955
ALP,  1995,     4,    20,   200, 140.03, 12.19,147.47, 29.38,     19, 0.76254
ALP,  1997,    12,    20,   200, 153.95, 93.12, 56.00, 41.00,     13, -0.22494
ALP,  1997,    12,     0,    20,  88.08, 17.99, 13.80,  2.35,     10, 0.95462
ALP,  1998,     1,   200,   500, 387.92,377.20,317.67, 91.92,     15, -0.048154
ALP,  1998,     1,    20,   200, 174.43, 75.35,108.14, 51.36,     14, 0.3568
ALP,  1998,     3,   200,   500, 282.71, 82.92,295.18, 71.48,     11, -0.16739
ALP,  1998,     3,    20,   200, 197.80, 72.12,159.25, 24.33,     20, 0.42341
ALP,  1998,     4,   200,   500, 494.54,279.37,231.94, 21.97,     16, 0.40764
ALP,  1998,     4,    20,   200, 201.02, 88.21,151.57, 24.27,     14, 0.87163
Los_Padres_Res,  2001,    10,     0,    20,   8.00,  0.00,  7.21,  0.21,     31, 1.7917e-14
Los_Padres_Res,  2001,    11,     0,    20,   8.00,  0.00,  8.78,  2.19,     30, 3.8463e-16
Los_Padres_Res,  2001,    12,   200,   500,  85.74, 21.53,283.00, 34.82,      4, -0.38513
Los_Padres_Res,  2001,    12,    20,   200,  85.70, 52.90, 76.27, 44.86,     26, 0.45636
Los_Padres_Res,  2002,    10,     0,    20,   0.00,  0.00,  6.65,  0.15,     31, 
Los_Padres_Res,  2002,    11,    20,   200,  65.69,107.81, 43.70, 29.46,     10, 0.91564
Los_Padres_Res,  2002,    11,     0,    20,   7.33,  6.46, 12.29,  5.12,     20, 0.99189
Los_Padres_Res,  2002,    12,   200,   500, 477.23,394.46,295.64, 61.16,     11, 0.36994
Los_Padres_Res,  2002,    12,    20,   200, 145.01, 66.94,147.33, 26.80,      6, -0.17207
Los_Padres_Res,  2002,    12,     0,    20,  10.20,  4.24, 13.92,  1.50,     13, 0.26757
Los_Padres_Res,  2002,     1,   200,   500, 162.22, 34.86,238.00, 35.03,      3, 0.99067
Los_Padres_Res,  2002,     1,    20,   200,  83.85, 30.16, 73.86, 36.82,     28, 0.89299
Los_Padres_Res,  2002,     2,    20,   200,  72.33, 26.49, 45.54,  9.12,     28, 0.13394
Los_Padres_Res,  2002,     3,    20,   200,  57.53, 10.72, 54.52, 18.03,     31, 0.010997
Los_Padres_Res,  2002,     4,    20,   200,  29.44,  7.23, 38.93,  8.53,     30, 0.97912
Los_Padres_Res,  2002,     5,    20,   200,  19.23,  5.29, 24.16,  3.64,     25, 0.3349
Los_Padres_Res,  2002,     5,     0,    20,  14.41,  0.82, 19.10,  0.88,     10, 0.55222
Los_Padres_Res,  2002,     6,     0,    20,   9.57,  2.44, 14.83,  1.32,     30, 0.85604
Los_Padres_Res,  2002,     7,     0,    20,   7.00,  0.00, 10.18,  1.54,     31, -1.985e-15
Los_Padres_Res,  2002,     8,     0,    20,   7.00,  0.00,  7.32,  0.37,     31, -4.5962e-15
Los_Padres_Res,  2002,     9,     0,    20,   3.03,  3.53,  6.68,  0.14,     30, 0.7092
Los_Padres_Res,  2003,    10,     0,    20,  10.00,  0.00,  7.96,  0.67,     31, 4.8601e-15
Los_Padres_Res,  2003,    11,     0,    20,  10.00,  0.00,  7.79,  0.34,     30, -1.6673e-15
Los_Padres_Res,  2003,    12,     0,    20,  10.00,  0.00,  8.70,  0.52,     28, -2.0032e-15
Los_Padres_Res,  2003,     1,   200,   500, 421.44,191.49,248.60, 50.89,      5, -0.84396
Los_Padres_Res,  2003,     1,    20,   200, 188.35,115.01,109.70, 38.76,     27, 0.77998
Los_Padres_Res,  2003,     2,    20,   200,  94.82, 15.82, 51.61,  6.43,     28, 0.17226
Los_Padres_Res,  2003,     3,    20,   200, 113.69, 76.04, 58.27, 25.63,     30, 0.91679
Los_Padres_Res,  2003,     4,    20,   200, 120.02, 62.86, 78.34, 30.64,     29, 0.85448
Los_Padres_Res,  2003,     5,    20,   200,  94.12, 41.06, 75.97, 23.08,     31, 0.86742
Los_Padres_Res,  2003,     6,    20,   200,  21.03,  8.87, 30.82,  6.41,     28, 0.98114
Los_Padres_Res,  2003,     6,     0,    20,   9.19,  0.63, 19.33,  0.58,      3, 0.81003
Los_Padres_Res,  2003,     7,    20,   200,  10.00,  0.00, 20.00,  0.00,      4, 
Los_Padres_Res,  2003,     7,     0,    20,   9.93,  0.37, 16.32,  2.09,     31, -0.14911
Los_Padres_Res,  2003,     8,     0,    20,  10.00,  0.00, 11.83,  1.17,     31, 1.8395e-15
Los_Padres_Res,  2003,     9,     0,    20,  10.00,  0.00, 10.26,  0.93,     30, -1.9517e-16
Los_Padres_Res,  2004,    10,     0,    20,   5.87,  2.62,  7.71,  2.08,     31, -0.79955
Los_Padres_Res,  2004,    11,     0,    20,   9.04,  4.73, 13.40,  0.50,     30, 0.29777
Los_Padres_Res,  2004,    12,    20,   200,  15.77,  5.10, 31.54, 16.56,     13, -0.075973
Los_Padres_Res,  2004,    12,     0,    20,  20.59, 28.92, 15.40,  2.03,     15, -0.11008
Los_Padres_Res,  2004,     1,    20,   200, 118.67, 37.30, 44.31, 31.59,     29, 0.94035
Los_Padres_Res,  2004,     2,   200,   500, 454.34,494.35,317.33, 58.16,      3, 0.98626
Los_Padres_Res,  2004,     2,    20,   200, 239.43,221.97, 74.30, 40.10,     23, 0.85814
Los_Padres_Res,  2004,     3,    20,   200, 128.38, 45.78, 78.10, 41.46,     29, 0.96132
Los_Padres_Res,  2004,     4,    20,   200,  53.56, 14.68, 28.00,  4.76,     30, 0.97986
Los_Padres_Res,  2004,     5,     0,    20,  17.51,  4.77, 16.26,  1.57,     31, 0.85912
Los_Padres_Res,  2004,     6,     0,    20,   9.57,  2.44, 10.56,  1.43,     30, 0.86959
Los_Padres_Res,  2004,     7,     0,    20,   7.00,  0.00,  7.70,  0.43,     31, -5.1006e-15
Los_Padres_Res,  2004,     8,     0,    20,   7.00,  0.00,  6.48,  0.24,     31, -1.7505e-15
Los_Padres_Res,  2004,     9,     0,    20,   7.00,  0.00,  6.74,  0.32,     30, 1.0462e-14
Los_Padres_Res,  2005,    10,     0,    20,   8.00,  0.00,  9.59,  0.22,     31, 4.2435e-15
Los_Padres_Res,  2005,    11,     0,    20,   8.00,  0.00,  8.37,  0.74,     30, 2.4525e-16
Los_Padres_Res,  2005,    12,    20,   200,  33.02,  5.20, 49.00, 20.16,      9, -0.37077
Los_Padres_Res,  2005,    12,     0,    20,  13.39, 35.50,  8.51,  1.09,     21, 0.63245
Los_Padres_Res,  2005,     1,   200,   500, 360.55,212.22,328.11, 94.91,      9, 0.085007
Los_Padres_Res,  2005,     1,    20,   200, 202.77, 90.77,141.20, 33.08,     15, 0.44691
Los_Padres_Res,  2005,     2,   200,   500, 362.26,129.53,342.22, 67.39,      9, -0.2499
Los_Padres_Res,  2005,     2,    20,   200, 145.95, 18.48, 94.87, 22.33,     15, 0.56819
Los_Padres_Res,  2005,     3,   200,   500, 300.58,200.54,289.87, 65.11,     15, 0.64615
Los_Padres_Res,  2005,     3,    20,   200, 145.42, 17.49,149.69, 24.17,     13, 0.73445
Los_Padres_Res,  2005,     4,   200,   500, 277.16, 60.46,212.00, 13.11,      3, 0.64732
Los_Padres_Res,  2005,     4,    20,   200, 155.18, 39.61,123.00, 37.95,     28, 0.86177
Los_Padres_Res,  2005,     5,    20,   200,  82.57, 26.18, 61.97, 11.93,     31, 0.94587
Los_Padres_Res,  2005,     6,    20,   200,  24.79,  8.49, 33.43,  5.70,     30, 0.96554
Los_Padres_Res,  2005,     7,    20,   200,   9.60,  0.98, 20.83,  1.17,      6, 0.88775
Los_Padres_Res,  2005,     7,     0,    20,   8.96,  0.27, 16.25,  2.43,     28, -0.21664
Los_Padres_Res,  2005,     8,     0,    20,   8.06,  0.25, 13.97,  1.80,     31, -0.069453
Los_Padres_Res,  2005,     9,     0,    20,   8.00,  0.00, 11.55,  1.57,     30, -4.6169e-16
Los_Padres_Res,  2006,    10,     0,    20,   9.00,  0.00,  8.98,  0.60,     31, 8.6805e-16
Los_Padres_Res,  2006,    11,     0,    20,   9.00,  0.00,  7.67,  0.96,     30, 4.0967e-16
Los_Padres_Res,  2006,    12,     0,    20,   4.94,  4.55,  5.99,  0.60,     31, 0.60572
Los_Padres_Res,  2006,     1,   200,   500, 344.47,313.45,338.00,121.58,      3, -0.089371
Los_Padres_Res,  2006,     1,    20,   200, 121.89, 24.07, 82.00, 25.62,     26, 0.28843
Los_Padres_Res,  2006,     2,    20,   200,  74.28, 11.48, 35.81,  5.86,     26, 0.54872
Los_Padres_Res,  2006,     3,   200,   500, 301.75,161.01,272.74, 52.91,     27, 0.36275
Los_Padres_Res,  2006,     3,    20,   200, 241.79, 32.38,185.00,  9.17,      3, -0.9995
Los_Padres_Res,  2006,     4,   200,   500, 283.54, 69.09,329.85, 91.85,     13, 0.92517
Los_Padres_Res,  2006,     4,    20,   200, 165.05,  9.56,171.80, 17.36,      5, 0.98524
Los_Padres_Res,  2006,     5,    20,   200,  93.31, 29.32, 89.68, 23.52,     31, 0.56705
Los_Padres_Res,  2006,     6,    20,   200,  30.74, 13.51, 37.63, 10.08,     30, 0.9942
Los_Padres_Res,  2006,     7,    20,   200,  10.40,  1.11, 21.14,  0.69,      7, 0.90795
Los_Padres_Res,  2006,     7,     0,    20,   8.92,  0.30, 15.96,  1.59,     25, -0.45781
Los_Padres_Res,  2006,     8,     0,    20,   9.00,  0.00, 13.97,  1.52,     31, -3.4576e-16
Los_Padres_Res,  2006,     9,     0,    20,   9.00,  0.00, 11.63,  0.93,     30, -5.1925e-16
Los_Padres_Res,  2007,    10,     0,    20,   7.00,  0.00,  3.53,  0.20,     31, 7.2711e-15
Los_Padres_Res,  2007,    11,     0,    20,   7.00,  0.00,  3.25,  0.16,     30, -7.5675e-16
Los_Padres_Res,  2007,    12,     0,    20,   7.00,  0.00,  3.01,  0.09,     31, 8.0228e-16
Los_Padres_Res,  2007,     1,     0,    20,   9.30,  3.39, 13.18,  2.64,     31, 0.72455
Los_Padres_Res,  2007,     2,    20,   200,  38.03, 27.41, 56.58, 47.43,     19, 0.45562
Los_Padres_Res,  2007,     2,     0,    20,  10.54,  1.43, 11.44,  0.73,      9, 0.42695
Los_Padres_Res,  2007,     3,    20,   200,  46.86, 27.94, 36.75, 21.56,     24, 0.84967
Los_Padres_Res,  2007,     3,     0,    20,  58.75, 22.24, 18.56,  1.01,      9, 0.17121
Los_Padres_Res,  2007,     4,     0,    20,  30.81,  5.44, 13.97,  1.30,     30, 0.5527
Los_Padres_Res,  2007,     5,     0,    20,  15.72,  3.71,  7.97,  2.07,     31, 0.8687
Los_Padres_Res,  2007,     6,     0,    20,   9.57,  2.44,  6.03,  1.04,     30, -0.24283
Los_Padres_Res,  2007,     7,     0,    20,   7.00,  0.00,  5.04,  0.21,     31, -1.6719e-15
Los_Padres_Res,  2007,     8,     0,    20,   7.00,  0.00,  4.47,  0.21,     31, -2.1732e-15
Los_Padres_Res,  2007,     9,     0,    20,   7.00,  0.00,  4.19,  0.27,     30, -1.7568e-15
Los_Padres_Res,  2008,    10,     0,    20,   7.00,  0.00,  5.41,  0.16,     31, 8.7927e-15
Los_Padres_Res,  2008,    11,     0,    20,   7.00,  0.00,  5.38,  0.19,     30, 6.8985e-15
Los_Padres_Res,  2008,    12,     0,    20,   6.77,  1.26,  6.05,  0.37,     31, -0.17582
Los_Padres_Res,  2008,     1,   200,   500, 202.03,123.75,354.80, 89.23,      5, -0.48916
Los_Padres_Res,  2008,     1,    20,   200,  77.39, 40.77, 57.06, 38.89,     18, 0.21317
Los_Padres_Res,  2008,     1,     0,    20,   7.00,  0.00,  3.03,  0.23,      3, 0
Los_Padres_Res,  2008,     2,   200,   500, 394.77,396.79,272.33, 47.05,      6, 0.60117
Los_Padres_Res,  2008,     2,    20,   200, 169.73, 48.62,111.86, 46.87,     21, 0.8382
Los_Padres_Res,  2008,     3,    20,   200, 119.69, 32.19, 72.90, 33.39,     31, 0.98024
Los_Padres_Res,  2008,     4,    20,   200,  56.36, 14.52, 30.67,  5.75,     30, 0.97867
Los_Padres_Res,  2008,     5,    20,   200,  31.06,  1.62, 21.17,  0.75,      6, 0.9197
Los_Padres_Res,  2008,     5,     0,    20,  18.00,  5.38, 16.58,  1.81,     26, 0.6266
Los_Padres_Res,  2008,     6,     0,    20,   9.33,  2.34, 11.43,  0.97,     30, 0.69302
Los_Padres_Res,  2008,     7,     0,    20,   7.00,  0.00,  8.18,  1.15,     31, -2.1626e-15
Los_Padres_Res,  2008,     8,     0,    20,   7.00,  0.00,  6.13,  0.34,     31, 8.4444e-15
Los_Padres_Res,  2008,     9,     0,    20,   7.00,  0.00,  5.75,  0.48,     30, 1.0702e-15
Los_Padres_Res,  2009,    10,    20,   200,  14.40, 10.46, 51.31, 28.57,     16, 0.97945
Los_Padres_Res,  2009,    10,     0,    20,   7.00,  0.00,  8.53,  0.09,     12, -5.3559e-15
Los_Padres_Res,  2009,    11,    20,   200,   7.03,  0.17, 23.29,  2.61,     24, 0.46543
Los_Padres_Res,  2009,    11,     0,    20,   7.00,  0.00, 19.00,  0.94,     10, 
Los_Padres_Res,  2009,    12,    20,   200,  31.05, 28.17, 57.18, 33.67,     22, 0.83761
Los_Padres_Res,  2009,    12,     0,    20,   7.00,  0.00, 17.50,  0.53,      8, 0
Los_Padres_Res,  2009,     1,    20,   200,  30.10,  3.96, 25.00,  2.97,      6, -0.81719
Los_Padres_Res,  2009,     1,     0,    20,  10.18, 14.44,  6.96,  2.55,     25, 0.39023
Los_Padres_Res,  2009,     2,   200,   500, 300.37,264.71,331.50,111.87,      8, 0.039815
Los_Padres_Res,  2009,     2,    20,   200,  78.40, 47.94, 81.14, 59.98,     14, 0.90047
Los_Padres_Res,  2009,     2,     0,    20,  17.86,  2.86, 17.00,  1.41,      4, 0.78272
Los_Padres_Res,  2009,     3,   200,   500, 236.25,157.11,297.00, 80.89,      5, 0.86702
Los_Padres_Res,  2009,     3,    20,   200, 125.20, 17.30,108.76, 33.68,     21, 0.55061
Los_Padres_Res,  2009,     4,    20,   200,  67.81, 15.71, 50.37, 10.25,     30, 0.86463
Los_Padres_Res,  2009,     5,    20,   200,  30.71, 13.83, 30.06,  6.24,     31, 0.79829
Los_Padres_Res,  2009,     6,    20,   200,   9.77,  2.17, 22.06,  1.65,     16, 0.94413
Los_Padres_Res,  2009,     6,     0,    20,   7.00,  0.33, 16.72,  2.42,     18, 0.076895
Los_Padres_Res,  2009,     7,     0,    20,   7.00,  0.00, 12.65,  0.91,     31, -7.6423e-16
Los_Padres_Res,  2009,     8,     0,    20,   7.00,  0.00,  9.24,  0.63,     31, 1.1977e-15
Los_Padres_Res,  2009,     9,     0,    20,   7.00,  0.00,  8.72,  0.19,     30, -8.5796e-15
Los_Padres_Res,  2010,    10,     0,    20,   8.00,  0.00, 14.32,  0.75,     31, 3.8949e-16
Los_Padres_Res,  2010,    11,     0,    20,  16.15, 22.42, 13.93,  0.25,     30, -0.16662
Los_Padres_Res,  2010,    12,   200,   500,  91.47, 56.87,258.67, 53.97,      6, -0.45741
Los_Padres_Res,  2010,    12,    20,   200,  72.86, 38.41,150.63, 31.74,      8, 0.82025
Los_Padres_Res,  2010,    12,     0,    20,  13.23,  6.49, 17.67,  1.03,     18, -0.13082
Los_Padres_Res,  2010,     1,   200,   500, 265.61,182.21,335.67, 76.25,      9, 0.5008
Los_Padres_Res,  2010,     1,    20,   200,  24.12, 11.20, 39.59,  6.46,     17, 0.8249
Los_Padres_Res,  2010,     2,   200,   500, 249.52,101.66,289.00, 84.15,     14, 0.2736
Los_Padres_Res,  2010,     2,    20,   200, 166.01, 44.61,151.50, 24.82,     14, 0.87961
Los_Padres_Res,  2010,     3,   200,   500, 413.70,310.78,270.38, 55.30,     13, 0.083314
Los_Padres_Res,  2010,     3,    20,   200, 154.18, 45.86,137.94, 28.05,     18, 0.95818
Los_Padres_Res,  2010,     4,   200,   500, 240.89,222.84,258.17, 48.62,      6, 0.37236
Los_Padres_Res,  2010,     4,    20,   200, 183.56, 73.50,148.76, 31.54,     25, 0.23986
Los_Padres_Res,  2010,     5,    20,   200,  83.40, 23.64, 87.68, 18.01,     31, 0.96092
Los_Padres_Res,  2010,     6,    20,   200,  28.33, 12.47, 44.07,  9.06,     30, 0.99317
Los_Padres_Res,  2010,     7,    20,   200,   8.54,  1.40, 24.55,  3.65,     22, 0.71105
Los_Padres_Res,  2010,     7,     0,    20,   8.00,  0.00, 18.79,  1.12,     14, 9.3908e-16
Los_Padres_Res,  2010,     8,     0,    20,   8.00,  0.00, 14.00,  1.13,     31, 0
Los_Padres_Res,  2010,     9,     0,    20,   8.00,  0.00, 13.83,  1.62,     30, -5.2025e-16
Los_Padres_Res,  2011,    10,     0,    20,  10.00,  0.00, 16.87,  1.02,     31, 1.1372e-16
Los_Padres_Res,  2011,    11,     0,    20,  10.00,  0.00, 14.27,  1.20,     30, 7.0172e-16
Los_Padres_Res,  2011,    12,     0,    20,  10.00,  0.00, 13.52,  0.51,     31, -9.1731e-16
Los_Padres_Res,  2011,     1,   200,   500, 121.07,  3.64,271.33, 73.05,      3, 0.99953
Los_Padres_Res,  2011,     1,    20,   200,  69.66, 19.95, 81.88, 40.07,     26, 0.88502
Los_Padres_Res,  2011,     2,   200,   500, 369.97,114.04,304.14, 63.62,      7, -0.15851
Los_Padres_Res,  2011,     2,    20,   200,  52.95, 31.77, 56.06, 46.89,     17, 0.68635
Los_Padres_Res,  2011,     3,   200,   500, 269.12,367.74,294.22,105.20,      9, 0.77491
Los_Padres_Res,  2011,     3,    20,   200, 115.73, 17.69,149.92, 23.44,     12, 0.76127
Los_Padres_Res,  2011,     4,   200,   500, 175.17, 22.35,277.00, 65.47,      8, 0.92952
Los_Padres_Res,  2011,     4,    20,   200, 115.70, 28.42,118.14, 30.73,     22, 0.93711
Los_Padres_Res,  2011,     5,    20,   200,  57.67, 13.00, 63.58, 10.58,     31, 0.32133
Los_Padres_Res,  2011,     6,    20,   200,  46.48, 37.21, 62.80, 37.68,     30, 0.32944
Los_Padres_Res,  2011,     7,    20,   200,  10.75,  2.00, 25.56,  4.00,     27, 0.80656
Los_Padres_Res,  2011,     7,     0,    20,  10.00,  0.00, 19.33,  0.52,      6, 
Los_Padres_Res,  2011,     8,     0,    20,  10.00,  0.00, 15.03,  1.40,     31, 6.2321e-16
Los_Padres_Res,  2011,     9,     0,    20,  10.00,  0.00, 15.53,  0.86,     30, -1.4e-16
Los_Padres_Res,  2012,     1,    20,   200,  17.19, 10.41, 52.57, 19.54,      7, -0.74192
Los_Padres_Res,  2012,     1,     0,    20,  10.00,  0.00, 13.96,  0.37,     23, 1.9387e-15
DJ,  1992,    10,     0,    20,   4.39,  2.62,  1.95,  0.46,     31, 0.62767
DJ,  1992,    11,     0,    20,   8.35,  2.76,  1.85,  0.35,     30, 0.95448
DJ,  1992,    12,    20,   200, 287.85,230.65,119.67, 77.80,      3, 0.9461
DJ,  1992,    12,     0,    20,  42.01, 25.82,  3.70,  0.94,     28, 0.30035
DJ,  1993,    10,     0,    20,   6.91,  0.30,  3.60,  0.25,     31, 0.63731
DJ,  1993,    11,     0,    20,  23.43, 27.14,  4.49,  0.68,     30, 0.47011
DJ,  1993,    12,     0,    20,  37.07, 19.84,  6.24,  0.80,     31, 0.69785
DJ,  1993,     1,   200,   500, 392.36,129.03,377.11, 72.50,      9, 0.21092
DJ,  1993,     1,    20,   200, 197.85, 69.63,137.20, 39.09,      5, 0.71317
DJ,  1993,     2,   200,   500, 416.53,111.13,294.57, 76.40,     14, -0.26848
DJ,  1993,     2,    20,   200, 284.69,  5.32,183.75, 13.15,      4, 0.86151
DJ,  1993,     3,   200,   500, 361.20,108.06,297.50, 78.79,     20, 0.82133
DJ,  1993,     3,    20,   200, 238.00, 11.00,181.00, 10.79,      6, -0.41334
DJ,  1993,     4,    20,   200, 183.71, 94.16,121.34, 31.81,     29, 0.91208
DJ,  1993,     5,    20,   200,  49.84, 18.38, 47.13, 15.07,     31, 0.98525
DJ,  1993,     6,    20,   200,  28.50, 11.35, 32.92, 12.45,     25, 0.45107
DJ,  1993,     6,     0,    20,   8.13,  1.26, 17.50,  1.87,      6, 0.85438
DJ,  1993,     7,     0,    20,   6.71,  0.72,  9.64,  2.71,     31, 0.035188
DJ,  1993,     8,     0,    20,   5.52,  0.32,  4.54,  0.46,     31, -0.61992
DJ,  1993,     9,     0,    20,   6.32,  0.25,  3.76,  0.38,     30, -0.66235
DJ,  1994,    10,     0,    20,  16.03, 11.20,  1.13,  0.13,     31, 0.33088
DJ,  1994,    11,     0,    20,  29.04, 19.04,  1.38,  0.27,     30, 0.41133
DJ,  1994,    12,     0,    20,  31.74, 11.77,  2.50,  0.25,     31, 0.29206
DJ,  1994,     1,    20,   200,  73.98, 19.57, 28.50,  5.92,      6, 0.75853
DJ,  1994,     1,     0,    20,  20.63, 10.80,  6.58,  1.86,     25, 0.97608
DJ,  1994,     2,   200,   500, 306.67,144.85,262.75, 39.81,      4, 0.33481
DJ,  1994,     2,    20,   200, 138.04,114.28, 95.41, 46.52,     17, 0.61649
DJ,  1994,     2,     0,    20,  44.04,  7.43, 16.00,  1.79,      6, 0.98074
DJ,  1994,     3,    20,   200,  81.40, 30.05, 37.90, 17.63,     30, 0.96449
DJ,  1994,     3,     0,    20,  50.14,  1.83, 19.33,  1.15,      3, -0.96124
DJ,  1994,     4,     0,    20,  57.72, 47.18, 15.47,  2.05,     30, 0.41178
DJ,  1994,     5,     0,    20,  64.01, 32.46, 14.19,  1.82,     31, 0.18279
DJ,  1994,     6,     0,    20,  12.03,  4.04,  5.29,  2.63,     30, 0.84812
DJ,  1994,     7,     0,    20,   6.71,  0.30,  1.61,  0.33,     31, 0.84639
DJ,  1994,     8,     0,    20,   6.18,  0.36,  1.08,  0.07,     31, 0.13832
DJ,  1994,     9,     0,    20,   6.97,  1.02,  1.12,  0.05,     30, -0.25602
DJ,  1995,    10,     0,    20,   6.61,  0.55,  8.28,  0.41,     31, 0.16177
DJ,  1995,    11,     0,    20,   7.45,  0.17,  9.36,  0.47,     30, -0.68244
DJ,  1995,    12,    20,   200, 117.63,100.31, 37.05, 12.04,     20, 0.7777
DJ,  1995,    12,     0,    20,   7.39,  0.06, 10.36,  0.50,     11, -0.68884
DJ,  1995,     1,     0,    20,  56.24, 46.82,  3.92,  2.39,      4, 0.99812
DJ,  1995,     2,   200,   500, 402.17, 77.62,291.00, 83.70,     11, 0.80525
DJ,  1995,     2,    20,   200, 255.74, 56.53,143.82, 28.40,     17, 0.48241
DJ,  1995,     3,    20,   200, 172.62, 11.62,145.13, 28.82,      8, 0.19599
DJ,  1995,     4,   200,   500, 389.21,148.68,304.35, 84.15,     20, 0.86173
