Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
Los_Padres_Res,01-Oct-2005,30-Sep-2006,  20, 200, 79.09, 50.34, 65.51, 40.98,   137,0.8059
Los_Padres_Res,01-Oct-2005,30-Sep-2006, 200, 500,299.23,149.39,294.56, 75.32,    43,0.2988
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,10000, 15.53, 16.90, 12.49, 17.63,   365,0.6771
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,  20, 12.21, 11.39,  8.15,  3.88,   324,0.7005
Los_Padres_Res,01-Oct-2006,30-Sep-2007,  20, 200, 42.96, 27.74, 45.51, 36.30,    43,0.4866
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,10000, 56.36,152.89, 45.20,110.86,   366,0.7133
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,  20,  8.46,  3.90,  6.99,  4.35,   243,0.7922
Los_Padres_Res,01-Oct-2007,30-Sep-2008,  20, 200, 99.48, 55.35, 63.05, 43.61,   106,0.8584
Los_Padres_Res,01-Oct-2007,30-Sep-2008, 200, 500,307.16,308.18,309.82, 78.40,    11,-0.0366
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,10000, 40.37, 86.35, 49.18,126.34,   365,0.7481
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,  20,  7.50,  5.00,  8.66,  3.72,   231,0.1398
Los_Padres_Res,01-Oct-2008,30-Sep-2009,  20, 200, 59.75, 43.07, 53.95, 39.93,   118,0.8940
Los_Padres_Res,01-Oct-2008,30-Sep-2009, 200, 500,275.71,223.96,318.23, 98.93,    13,0.2224
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,10000, 83.69,133.99, 97.22,137.01,   365,0.6731
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,  20,  7.71,  0.45, 14.71,  3.28,   105,0.0577
Los_Padres_Res,01-Oct-2009,30-Sep-2010,  20, 200, 67.60, 73.11, 74.04, 51.35,   219,0.9116
Los_Padres_Res,01-Oct-2009,30-Sep-2010, 200, 500,289.13,223.62,289.87, 74.51,    45,0.0825
Los_Padres_Res,01-Oct-2010,30-Sep-2011,   0,10000, 75.62,155.45,101.09,173.82,   365,0.7054
Los_Padres_Res,01-Oct-2010,30-Sep-2011,   0,  20, 11.24, 10.67, 15.26,  1.67,   146,-0.0344
Los_Padres_Res,01-Oct-2010,30-Sep-2011,  20, 200, 61.85, 40.55, 76.47, 47.54,   173,0.7913
Los_Padres_Res,01-Oct-2010,30-Sep-2011, 200, 500,221.98,216.74,283.61, 74.28,    33,0.5580
Los_Padres_Res,01-Oct-2011,30-Sep-2012,   0,10000, 10.41,  2.86, 16.88,  9.98,   122,0.2581
Los_Padres_Res,01-Oct-2011,30-Sep-2012,   0,  20, 10.00,  0.00, 14.70,  1.60,   115,0.0000
Los_Padres_Res,01-Oct-2011,30-Sep-2012,  20, 200, 17.19, 10.41, 52.57, 19.54,     7,-0.7419
DJ,01-Oct-1992,30-Sep-1993,   0,10000,183.24,478.10,168.72,392.54,   365,0.7810
DJ,01-Oct-1992,30-Sep-1993,   0,  20, 11.66, 16.24,  4.69,  3.71,   187,-0.0482
DJ,01-Oct-1992,30-Sep-1993,  20, 200,116.55,107.25, 84.17, 56.03,   103,0.9251
