Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   1.00  02-Oct-1991     01-Oct-2015   O      8766        63.63
     1  BL.gg16   1.00  03-Oct-1991     05-Mar-1992   O       155         8.04
     1  BL.gg16   1.00  06-Mar-1992     18-Apr-1992   U        44         0.43
     1  BL.gg16   1.00  19-Apr-1992     30-Dec-1992   O       256         4.30
     1  BL.gg16   1.00  31-Dec-1992     19-Feb-1993   U        51         0.47
     1  BL.gg16   1.00  21-Feb-1993     05-Apr-1993   U        44         0.55
     1  BL.gg16   1.00  06-Apr-1993     19-Dec-1993   O       258         4.02
     1  BL.gg16   1.00  20-Dec-1993     17-Apr-1994   U       119         0.36
     1  BL.gg16   1.00  18-Apr-1994     19-Dec-1994   O       246         5.04
     1  BL.gg16   1.00  20-Dec-1994     16-Jan-1995   U        28         0.41
     1  BL.gg16   1.00  17-Jan-1995     26-Jan-1995   O        10         5.50
     1  BL.gg16   1.00  27-Jan-1995     11-Mar-1995   U        44         0.46
     1  BL.gg16   1.00  13-Mar-1995     18-Mar-1995   U         6         0.57
     1  BL.gg16   1.00  19-Mar-1995     22-Dec-1995   O       279         5.61
     1  BL.gg16   1.00  23-Dec-1995     27-May-1996   U       157         0.40
     1  BL.gg16   1.00  28-May-1996     15-Dec-1996   O       202         5.05
     1  BL.gg16   1.00  16-Dec-1996     23-Apr-1997   U       129         0.42
     1  BL.gg16   1.00  24-Apr-1997     26-Nov-1997   O       217         4.55
     1  BL.gg16   1.00  27-Nov-1997     03-Feb-1998   U        69         0.40
     1  BL.gg16   1.00  05-Feb-1998     06-Feb-1998   U         2         0.61
     1  BL.gg16   1.00  07-Feb-1998     10-Feb-1998   O         4         1.53
     1  BL.gg16   1.00  11-Feb-1998     20-Feb-1998   U        10         0.77
     1  BL.gg16   1.00  26-Feb-1998     02-Mar-1998   U         5         0.69
     1  BL.gg16   1.00  03-Mar-1998     28-Nov-1998   O       271         4.38
     1  BL.gg16   1.00  29-Nov-1998     26-May-1999   U       179         0.37
     1  BL.gg16   1.00  27-May-1999     04-Dec-1999   O       192         5.33
     1  BL.gg16   1.00  05-Dec-1999     15-Jan-2000   U        42         0.33
     1  BL.gg16   1.00  16-Jan-2000     21-Jan-2000   O         6         5.35
     1  BL.gg16   1.00  22-Jan-2000     29-Apr-2000   U        99         0.41
     1  BL.gg16   1.00  30-Apr-2000     25-Jan-2001   O       271         5.33
     1  BL.gg16   1.00  26-Jan-2001     01-Apr-2001   U        66         0.40
     1  BL.gg16   1.00  02-Apr-2001     20-Apr-2001   O        19         6.39
     1  BL.gg16   1.00  21-Apr-2001     02-May-2001   U        12         0.40
     1  BL.gg16   1.00  03-May-2001     13-Jan-2002   O       256         5.06
     1  BL.gg16   1.00  14-Jan-2002     03-Apr-2002   U        80         0.36
     1  BL.gg16   1.00  04-Apr-2002     09-Apr-2002   O         6         5.35
     1  BL.gg16   1.00  10-Apr-2002     07-May-2002   U        28         0.35
     1  BL.gg16   1.00  08-May-2002     02-Dec-2002   O       209         4.60
     1  BL.gg16   1.00  03-Dec-2002     04-Apr-2003   U       123         0.39
     1  BL.gg16   1.00  05-Apr-2003     11-Nov-2003   O       221         4.70
     1  BL.gg16   1.00  12-Nov-2003     06-Dec-2003   U        25         0.32
     1  BL.gg16   1.00  07-Dec-2003     13-Dec-2003   O         7         5.34
     1  BL.gg16   1.00  14-Dec-2003     08-Feb-2004   U        57         0.39
     1  BL.gg16   1.00  09-Feb-2004     16-Feb-2004   O         8         5.38
     1  BL.gg16   1.00  17-Feb-2004     21-May-2004   U        95         0.40
     1  BL.gg16   1.00  22-May-2004     27-Dec-2004   O       220         4.85
     1  BL.gg16   1.00  28-Dec-2004     25-Mar-2005   U        88         0.45
     1  BL.gg16   1.00  26-Mar-2005     27-Oct-2005   O       216         4.76
     1  BL.gg16   1.00  28-Oct-2005     06-Dec-2005   U        40         0.28
     1  BL.gg16   1.00  07-Dec-2005     09-Dec-2005   O         3         5.35
