Gage, Year, Month, Cutoff Low (cfs), Cutoff High (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,  1992,    10,     0,    20,   0.04,  0.16,  0.00,  0.00,     31, 
H1,  1992,    11,     0,    20,   0.19,  0.35,  0.00,  0.00,     30, 
H1,  1992,    12,     0,    20,  83.75, 70.16,  0.00,  0.00,     31, 
H1,  1993,    10,     0,    20,   0.02,  0.01,  0.00,  0.00,     31, 
H1,  1993,    11,     0,    20,  15.68, 23.82,  0.00,  0.00,     30, 
H1,  1993,    12,     0,    20,  42.68, 24.40,  0.00,  0.00,     31, 
H1,  1993,     1,   200,   500, 563.09, 33.19,395.00, 68.24,      9, 0.5861
H1,  1993,     1,    20,   200, 305.73, 30.20, 36.33, 10.02,      3, -0.80418
H1,  1993,     1,     0,    20, 348.91, 78.62,  9.57,  4.07,      3, 0.56761
H1,  1993,     2,   200,   500, 355.92, 85.26,292.61, 72.99,     18, -0.17866
H1,  1993,     3,   200,   500, 345.13,127.16,308.32, 84.34,     25, 0.65026
H1,  1993,     4,   200,   500, 229.27,  6.96,224.75, 21.61,      4, -0.89653
H1,  1993,     4,    20,   200, 180.94, 70.95,127.93, 33.85,     27, 0.86403
H1,  1993,     5,    20,   200,  65.83, 27.35, 50.58, 17.01,     31, 0.98417
H1,  1993,     6,    20,   200,  31.42,  4.42, 36.67, 12.90,     18, -0.31789
H1,  1993,     6,     0,    20,  11.72,  5.89, 12.75,  4.65,     12, 0.9473
H1,  1993,     7,     0,    20,   0.84,  1.18,  0.47,  1.11,     31, 0.86886
H1,  1993,     8,     0,    20,   0.03,  0.01,  0.00,  0.01,     31, 0.091047
H1,  1993,     9,     0,    20,   0.02,  0.00,  0.00,  0.00,     30, 
H1,  1994,    10,     0,    20,   4.83,  7.35,  0.00,  0.00,     31, 
H1,  1994,    11,     0,    20,  22.71, 19.67,  0.00,  0.00,     30, 
H1,  1994,    12,     0,    20,  25.29,  7.21,  0.00,  0.00,     31, 
H1,  1994,     1,     0,    20,  16.58, 21.98,  0.01,  0.02,     31, 0.071143
H1,  1994,     2,   200,   500, 186.05, 84.60,258.00, 65.05,      3, 0.77966
H1,  1994,     2,    20,   200, 224.84,131.85,103.60, 55.43,     10, 0.50329
H1,  1994,     2,     0,    20,  85.82, 22.22,  5.06,  6.44,     14, -0.23837
H1,  1994,     3,    20,   200,  99.94, 37.98, 38.46, 17.38,     26, 0.97281
H1,  1994,     3,     0,    20,  52.24,  7.65, 17.14,  3.89,      7, 0.57113
H1,  1994,     4,     0,    20,  57.63, 42.84,  5.36,  2.45,     30, 0.3424
H1,  1994,     5,     0,    20,  78.19, 33.83,  3.25,  2.12,     31, -0.30664
H1,  1994,     6,     0,    20,  11.48,  9.41,  0.03,  0.07,     30, 0.82406
H1,  1994,     7,     0,    20,   0.08,  0.11,  0.00,  0.00,     31, 
H1,  1994,     8,     0,    20,   0.01,  0.00,  0.00,  0.00,     31, 
H1,  1994,     9,     0,    20,   0.04,  0.10,  0.00,  0.00,     30, 
H1,  1995,    10,     0,    20,   0.04,  0.00,  0.00,  0.00,     31, 
H1,  1995,    11,     0,    20,   0.05,  0.02,  0.15,  0.34,     30, -0.1827
H1,  1995,    12,    20,   200, 314.20,213.41, 27.22,  4.40,     18, 0.34967
H1,  1995,    12,     0,    20,   3.29, 11.72,  5.62,  4.19,     13, 0.8889
H1,  1995,     1,     0,    20,  91.15, 97.07,  1.51,  4.24,      8, 0.86461
H1,  1995,     2,   200,   500, 514.58,228.16,286.57, 79.91,     14, 0.95203
H1,  1995,     2,    20,   200, 310.97, 46.31,145.29, 29.10,     14, -0.30481
H1,  1995,     3,    20,   200, 191.20, 15.79,137.38, 21.88,      8, -0.82851
H1,  1995,     4,   200,   500, 471.35,225.19,296.57, 73.35,     23, 0.94347
H1,  1995,     4,    20,   200, 252.41,  2.61,188.00, 11.96,      5, 0.19195
H1,  1995,     5,   200,   500, 229.71, 12.18,233.25, 28.37,     12, 0.6297
H1,  1995,     5,    20,   200, 193.91, 21.16,157.95, 27.17,     19, 0.38517
H1,  1995,     6,    20,   200,  92.37, 25.74, 87.13, 21.05,     30, 0.53715
H1,  1995,     7,    20,   200,  21.83, 10.86, 32.76, 11.50,     21, 0.99062
