Gage_Name, Gage_No, Threshold_cfs, Oct_ExtWet, Nov_ExtWet, Dec_ExtWet, Jan_ExtWet, Feb_ExtWet, Mar_ExtWet, Apr_ExtWet, May_ExtWet, Jun_ExtWet, Jul_ExtWet, Aug_ExtWet, Sep_ExtWet,Oct_Wet, Nov_Wet, Dec_Wet, Jan_Wet, Feb_Wet, Mar_Wet, Apr_Wet, May_Wet, Jun_Wet, Jul_Wet, Aug_Wet, Sep_Wet,Oct_AboveNorm, Nov_AboveNorm, Dec_AboveNorm, Jan_AboveNorm, Feb_AboveNorm, Mar_AboveNorm, Apr_AboveNorm, May_AboveNorm, Jun_AboveNorm, Jul_AboveNorm, Aug_AboveNorm, Sep_AboveNorm,Oct_Norm, Nov_Norm, Dec_Norm, Jan_Norm, Feb_Norm, Mar_Norm, Apr_Norm, May_Norm, Jun_Norm, Jul_Norm, Aug_Norm, Sep_Norm,Oct_BelowNorm, Nov_BelowNorm, Dec_BelowNorm, Jan_BelowNorm, Feb_BelowNorm, Mar_BelowNorm, Apr_BelowNorm, May_BelowNorm, Jun_BelowNorm, Jul_BelowNorm, Aug_BelowNorm, Sep_BelowNorm,Oct_Dry, Nov_Dry, Dec_Dry, Jan_Dry, Feb_Dry, Mar_Dry, Apr_Dry, May_Dry, Jun_Dry, Jul_Dry, Aug_Dry, Sep_Dry,Oct_CritDry, Nov_CritDry, Dec_CritDry, Jan_CritDry, Feb_CritDry, Mar_CritDry, Apr_CritDry, May_CritDry, Jun_CritDry, Jul_CritDry, Aug_CritDry, Sep_CritDry,
RM_22_0,55,20, NaN, 5.03, 4.89, 4.26, 3.86, 4.17, 4.06, 4.17, 4.06, 2.22,  NaN,  NaN, 4.86, 4.77, 4.63, 4.19, 3.88, 4.17, 4.06, 4.19, 3.57,  NaN,  NaN,  NaN, 2.94, 4.38, 4.24, 4.27, 3.90, 4.17, 3.99, 4.17, 3.50,  NaN,  NaN,  NaN, 7.44, 5.09, 4.59, 4.63, 3.90, 4.17, 4.06, 3.97, 4.62,  NaN,  NaN,  NaN,  NaN, 6.26, 4.23, 4.17, 3.92, 4.17, 4.06, 3.95,  NaN,  NaN,  NaN,  NaN, 5.35, 3.03, 3.85, 4.51, 3.64, 4.18, 4.05, 3.52, 4.98,  NaN,  NaN, 3.92,  NaN,  NaN,  NaN,  NaN, 6.14, 3.90, 3.90,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_22_5,54,20, NaN, 4.97, 4.84, 4.22, 3.82, 4.13, 4.02, 4.13, 4.02, 2.21,  NaN,  NaN, 4.81, 4.73, 4.59, 4.13, 3.85, 4.13, 4.02, 4.14, 3.54,  NaN,  NaN,  NaN, 2.91, 4.34, 4.26, 4.23, 3.86, 4.13, 3.96, 4.13, 3.46,  NaN,  NaN,  NaN, 7.35, 5.03, 4.53, 4.58, 3.88, 4.13, 4.02, 3.94, 4.60,  NaN,  NaN,  NaN,  NaN, 6.19, 4.19, 4.13, 3.88, 4.13, 4.02, 3.92,  NaN,  NaN,  NaN,  NaN, 5.29, 3.01, 3.81, 4.32, 3.61, 4.14, 4.01, 3.49, 4.98,  NaN,  NaN, 3.86,  NaN,  NaN,  NaN,  NaN, 6.08, 3.86, 4.02,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_23_0,57,20, NaN, 4.79, 4.91, 4.13, 3.76, 4.05, 3.94, 4.05, 3.94, 2.14,  NaN,  NaN, 4.69, 4.61, 4.48, 4.05, 3.78, 4.05, 3.94, 4.06, 3.50,  NaN,  NaN,  NaN, 2.92, 4.23, 4.18, 4.14, 3.79, 4.05, 3.88, 4.05, 3.42,  NaN,  NaN,  NaN, 7.06, 4.85, 4.43, 4.48, 3.81, 4.05, 3.94, 3.86, 4.56,  NaN,  NaN,  NaN,  NaN, 5.95, 4.10, 4.05, 3.81, 4.05, 3.94, 3.84,  NaN,  NaN,  NaN,  NaN, 5.15, 3.02, 3.75, 4.22, 3.56, 4.06, 3.93, 3.44,  NaN,  NaN,  NaN, 3.80,  NaN,  NaN,  NaN,  NaN, 5.84, 3.83, 3.94,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_24_0,58,20, NaN, 4.69, 4.70, 4.68, 4.67, 4.68, 4.67, 4.68, 4.67, 4.65,  NaN,  NaN, 4.70, 4.69, 4.68, 4.68, 4.67, 4.68, 4.67, 4.68, 4.66,  NaN,  NaN,  NaN, 4.64, 4.69, 4.68, 4.68, 4.67, 4.68, 4.67, 4.68, 4.66,  NaN,  NaN,  NaN, 4.75, 4.69, 4.70, 4.69, 4.67, 4.68, 4.67, 4.67, 4.66,  NaN,  NaN,  NaN,  NaN, 4.75, 4.68, 4.68, 4.67, 4.68, 4.67, 4.67,  NaN,  NaN,  NaN,  NaN, 4.68, 4.65, 4.67, 4.69, 4.67, 4.68, 4.67, 4.67, 4.65,  NaN,  NaN, 4.65,  NaN,  NaN,  NaN,  NaN, 4.70, 4.67, 4.66,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_24_5,59,20, NaN, 4.55, 4.55, 4.54, 4.53, 4.54, 4.54, 4.54, 4.54, 4.54,  NaN,  NaN, 4.55, 4.54, 4.54, 4.54, 4.53, 4.54, 4.54, 4.54, 4.53,  NaN,  NaN,  NaN, 4.52, 4.55, 4.54, 4.54, 4.54, 4.54, 4.54, 4.54, 4.53,  NaN,  NaN,  NaN, 4.58, 4.56, 4.55, 4.55, 4.54, 4.54, 4.54, 4.53, 4.53,  NaN,  NaN,  NaN,  NaN, 4.58, 4.54, 4.54, 4.54, 4.54, 4.54, 4.53,  NaN,  NaN,  NaN,  NaN, 4.53, 4.53, 4.54, 4.55, 4.53, 4.54, 4.54, 4.54, 4.54,  NaN,  NaN, 4.52,  NaN,  NaN,  NaN,  NaN, 4.55, 4.54, 4.53,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_2_0,20,20,18.42, 13.73, 11.70, 12.60, 9.84, 12.39, 11.83, 12.39, 11.83, 8.83,  NaN,  NaN, 17.41, 15.04, 14.50, 12.43, 10.05, 12.39, 11.83, 12.39, 9.33,  NaN,  NaN,  NaN, 13.45, 16.41, 13.78, 12.93, 10.19, 12.39, 10.80, 12.39, 9.46,  NaN,  NaN,  NaN, 27.29, 14.64, 19.16, 14.22, 10.19, 12.39, 11.83, 10.84, 6.49,  NaN,  NaN,  NaN,  NaN, 13.45, 13.56, 12.39, 10.37, 12.39, 11.83, 9.84,  NaN,  NaN,  NaN,  NaN, 15.79, 6.84, 12.69, 16.04, 8.81, 12.23, 11.06, 8.31, 0.01, 39.69,  NaN, 15.69,  NaN,  NaN,  NaN,  NaN, 20.74, 8.71, 10.89,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_2_5,21,20,18.48, 13.67, 11.80, 12.66, 10.03, 12.45, 11.88, 12.45, 11.88, 8.99,  NaN,  NaN, 17.28, 14.84, 14.49, 12.49, 10.25, 12.45, 11.88, 12.45, 9.51,  NaN,  NaN,  NaN, 13.40, 16.49, 13.85, 12.93, 10.39, 12.45, 10.89, 12.45, 9.50,  NaN,  NaN,  NaN, 27.91, 14.37, 18.91, 14.23, 10.39, 12.45, 11.88, 10.96, 6.60,  NaN,  NaN,  NaN,  NaN, 13.40, 13.58, 12.45, 10.57, 12.45, 11.88, 9.91,  NaN,  NaN,  NaN,  NaN, 16.00, 6.88, 12.78, 15.99, 9.00, 12.26, 11.09, 8.39, 0.01, 40.23,  NaN, 15.97,  NaN,  NaN,  NaN,  NaN, 21.08, 8.88, 11.07,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_3_5,22,20,20.54, 14.17, 13.14, 13.52, 10.88, 13.30, 12.66, 13.30, 12.66, 10.11,  NaN,  NaN, 18.24, 15.51, 15.38, 13.34, 11.11, 13.30, 12.66, 13.30, 10.99,  NaN,  NaN,  NaN, 15.14, 16.58, 14.79, 13.76, 11.25, 13.30, 12.44, 13.30, 10.15,  NaN,  NaN,  NaN, 26.63, 14.93, 19.62, 14.83, 11.25, 13.30, 12.66, 11.61, 7.06,  NaN,  NaN,  NaN,  NaN, 14.31, 14.43, 13.30, 11.44, 13.30, 12.66, 10.64,  NaN,  NaN,  NaN,  NaN, 17.30, 7.45, 13.54, 16.93, 9.96, 13.08, 11.82, 10.51, 1.41, 42.66,  NaN, 16.75,  NaN,  NaN,  NaN,  NaN, 22.78, 9.65, 11.78,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_4_0,23,20,15.67, 14.00, 13.05, 13.42, 10.82, 13.20, 12.56, 13.20, 12.56, 10.20,  NaN,  NaN, 17.09, 15.45, 15.22, 13.24, 11.04, 13.20, 12.56, 13.20, 10.85,  NaN,  NaN,  NaN, 14.91, 16.99, 14.64, 13.62, 11.19, 13.20, 12.35, 13.20, 10.13,  NaN,  NaN,  NaN, 26.21, 13.62, 19.27, 14.70, 11.19, 13.20, 12.56, 11.55, 6.90,  NaN,  NaN,  NaN,  NaN, 14.07, 14.29, 13.20, 11.37, 13.20, 12.56, 10.48,  NaN,  NaN,  NaN,  NaN, 17.33, 7.41, 13.42, 16.13, 10.02, 12.97, 11.74, 10.92, 1.49, 41.89,  NaN, 16.27,  NaN,  NaN,  NaN,  NaN, 18.18, 9.39, 11.78,  NaN,  NaN,  NaN,  NaN,  NaN, 
RM_4_5,24,20,16.40, 14.75, 13.02, 13.58, 10.96, 13.36, 12.72, 13.36, 12.72, 10.54,  NaN,  NaN, 17.26, 15.65, 15.37, 13.44, 11.18, 13.36, 12.72, 13.36, 11.04,  NaN,  NaN,  NaN, 14.96, 16.33, 14.78, 13.76, 11.34, 13.36, 12.51, 13.36, 10.27,  NaN,  NaN,  NaN, 25.80, 12.79, 19.46, 14.97, 11.34, 13.36, 12.72, 11.70, 7.08,  NaN,  NaN,  NaN,  NaN, 14.11, 14.40, 13.36, 11.53, 13.36, 12.72, 10.64,  NaN,  NaN,  NaN,  NaN, 17.67, 7.37, 13.55, 16.32, 10.24, 13.12, 11.89, 11.18, 1.62, 42.36,  NaN, 15.79,  NaN,  NaN,  NaN,  NaN, 18.55, 9.76, 11.99,  NaN,  NaN,  NaN,  NaN,  NaN, 
