Gage   Filename  Threshold(cfs)  Start          End   Over/Under   Num_Days  AveFlow(cfs)
    17  ALP.gg18   20.00  02-Oct-1991     07-Oct-1991   U         6         5.11
    17  ALP.gg18   20.00  08-Oct-1991     10-Oct-1991   O         3        35.55
    17  ALP.gg18   20.00  11-Oct-1991     27-Oct-1991   U        17         7.13
    17  ALP.gg18   20.00  28-Oct-1991     30-Oct-1991   O         3        34.53
    17  ALP.gg18   20.00  31-Oct-1991     28-Dec-1991   U        59         6.21
    17  ALP.gg18   20.00  29-Dec-1991     14-May-1992   O       138       150.22
    17  ALP.gg18   20.00  15-May-1992     03-Dec-1992   U       203         5.22
    17  ALP.gg18   20.00  04-Dec-1992     16-Dec-1992   O        13        40.68
    17  ALP.gg18   20.00  17-Dec-1992     20-Dec-1992   U         4        17.56
    17  ALP.gg18   20.00  21-Dec-1992     22-Dec-1992   O         2        21.19
    17  ALP.gg18   20.00  23-Dec-1992     29-Dec-1992   U         7         9.04
    17  ALP.gg18   20.00  30-Dec-1992     03-Jun-1993   O       156       252.66
    17  ALP.gg18   20.00  04-Jun-1993     05-Jun-1993   U         2        19.46
    17  ALP.gg18   20.00  06-Jun-1993     13-Jun-1993   O         8        25.98
    17  ALP.gg18   20.00  14-Jun-1993     11-Nov-1993   U       151         4.89
    17  ALP.gg18   20.00  12-Nov-1993     15-Nov-1993   O         4        49.65
    17  ALP.gg18   20.00  16-Nov-1993     30-Nov-1993   U        15         9.33
    17  ALP.gg18   20.00  01-Dec-1993     03-Dec-1993   O         3        30.57
    17  ALP.gg18   20.00  04-Dec-1993     11-Dec-1993   U         8         8.78
    17  ALP.gg18   20.00  12-Dec-1993     19-Dec-1993   O         8        45.74
    17  ALP.gg18   20.00  20-Dec-1993     23-Jan-1994   U        35         7.00
    17  ALP.gg18   20.00  24-Jan-1994     03-Feb-1994   O        11        49.83
    17  ALP.gg18   20.00  04-Feb-1994     07-Feb-1994   U         4        18.01
    17  ALP.gg18   20.00  08-Feb-1994     03-Jun-1994   O       116        58.67
    17  ALP.gg18   20.00  04-Jun-1994     05-Oct-1994   U       124         5.61
    17  ALP.gg18   20.00  06-Oct-1994     08-Oct-1994   O         3        39.32
    17  ALP.gg18   20.00  09-Oct-1994     10-Nov-1994   U        33         5.08
    17  ALP.gg18   20.00  11-Nov-1994     12-Nov-1994   O         2        40.57
    17  ALP.gg18   20.00  13-Nov-1994     18-Nov-1994   U         6        15.21
    17  ALP.gg18   20.00  20-Nov-1994     26-Nov-1994   U         7        11.07
    17  ALP.gg18   20.00  28-Nov-1994     13-Dec-1994   U        16        10.80
    17  ALP.gg18   20.00  14-Dec-1994     17-Dec-1994   O         4        24.25
    17  ALP.gg18   20.00  18-Dec-1994     26-Dec-1994   U         9        12.62
    17  ALP.gg18   20.00  27-Dec-1994     28-Dec-1994   O         2        22.87
    17  ALP.gg18   20.00  29-Dec-1994     03-Jan-1995   U         6        15.01
    17  ALP.gg18   20.00  04-Jan-1995     04-Jul-1995   O       182       242.86
    17  ALP.gg18   20.00  05-Jul-1995     12-Dec-1995   U       161         5.39
