Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,01-Oct-1992,30-Sep-1993,   0,10000,247.82,614.19,170.09,392.96,   365,0.8410
H1,01-Oct-1992,30-Sep-1993,   0,  20, 19.19, 58.24,  0.99,  3.44,   199,0.2201
H1,01-Oct-1992,30-Sep-1993,  20, 200,106.44, 86.00, 73.30, 46.18,    79,0.7513
H1,01-Oct-1992,30-Sep-1993, 200, 500,375.35,131.62,311.23, 85.22,    56,0.5827
H1,01-Oct-1993,30-Sep-1994,   0,10000, 37.86, 57.51, 10.23, 41.13,   365,0.5818
H1,01-Oct-1993,30-Sep-1994,   0,  20, 25.62, 35.84,  1.39,  3.47,   327,0.4434
H1,01-Oct-1993,30-Sep-1994,  20, 200,134.63, 93.38, 56.56, 43.37,    36,0.7613
H1,01-Oct-1993,30-Sep-1994, 200, 500,186.05, 84.60,258.00, 65.05,     3,0.7797
H1,01-Oct-1994,30-Sep-1995,   0,10000,281.78,559.26,247.93,693.21,   365,0.4448
H1,01-Oct-1994,30-Sep-1995,   0,  20, 14.11, 29.35,  1.79,  4.53,   174,0.0377
H1,01-Oct-1994,30-Sep-1995,  20, 200,144.94,100.35,106.97, 54.13,    97,0.8092
H1,01-Oct-1994,30-Sep-1995, 200, 500,440.06,252.62,282.98, 75.65,    51,0.9229
H1,01-Oct-1995,30-Sep-1996,   0,10000,127.88,251.17,114.92,253.65,   366,0.5893
H1,01-Oct-1995,30-Sep-1996,   0,  20,  1.59,  5.26,  2.16,  4.18,   185,0.8553
H1,01-Oct-1995,30-Sep-1996,  20, 200,157.75,146.28, 81.44, 54.37,   124,0.1865
H1,01-Oct-1995,30-Sep-1996, 200, 500,277.10,134.30,304.97, 88.59,    33,0.4132
H1,01-Oct-1996,30-Sep-1997,   0,10000,174.12,369.59,154.74,374.94,   365,0.6355
H1,01-Oct-1996,30-Sep-1997,   0,  20, 19.07, 63.22,  1.35,  3.41,   207,0.1262
H1,01-Oct-1996,30-Sep-1997,  20, 200,115.45,164.34, 76.84, 47.44,    87,0.6423
H1,01-Oct-1996,30-Sep-1997, 200, 500,521.31,248.92,325.79, 81.45,    38,0.2542
H1,01-Oct-1997,30-Sep-1998,   0,10000,360.56,695.44,388.02,908.98,   365,0.6851
H1,01-Oct-1997,30-Sep-1998,   0,  20, 37.47,101.43,  4.00,  5.91,   107,-0.2282
H1,01-Oct-1997,30-Sep-1998,  20, 200,107.06,124.30, 86.12, 51.92,   118,0.3525
H1,01-Oct-1997,30-Sep-1998, 200, 500,415.72,247.15,327.80, 80.81,    71,0.3815
H1,01-Oct-1998,30-Sep-1999,   0,10000, 61.19, 76.02, 70.18,102.03,   365,0.6629
H1,01-Oct-1998,30-Sep-1999,   0,  20,  2.53,  5.12,  6.05,  7.05,   150,0.7700
H1,01-Oct-1998,30-Sep-1999,  20, 200, 87.28, 67.76, 83.24, 52.28,   192,0.7591
H1,01-Oct-1998,30-Sep-1999, 200, 500,206.06, 61.15,277.42, 73.26,    26,-0.5733
H1,01-Oct-1999,30-Sep-2000,   0,10000, 96.98,175.39,100.08,231.96,   366,0.5910
H1,01-Oct-1999,30-Sep-2000,   0,  20,  4.90, 12.73,  1.39,  3.64,   222,0.2125
H1,01-Oct-1999,30-Sep-2000,  20, 200,145.91,109.16, 87.22, 46.54,    98,0.7270
H1,01-Oct-1999,30-Sep-2000, 200, 500,416.58,238.83,343.43, 96.70,    23,0.4317
H1,01-Oct-2000,30-Sep-2001,   0,10000,117.80,240.81, 59.20,139.11,   365,0.6260
H1,01-Oct-2000,30-Sep-2001,   0,  20, 10.30, 19.02,  1.85,  3.83,   224,0.0287
H1,01-Oct-2000,30-Sep-2001,  20, 200,182.97,153.15, 81.09, 40.68,   111,0.3658
H1,01-Oct-2000,30-Sep-2001, 200, 500,609.29,458.21,284.04, 65.48,    27,0.6079
H1,01-Oct-2001,30-Sep-2002,   0,10000, 54.17, 77.34, 34.34, 54.11,   365,0.5128
H1,01-Oct-2001,30-Sep-2002,   0,  20, 18.24, 72.91,  1.91,  4.96,   205,0.0692
H1,01-Oct-2001,30-Sep-2002,  20, 200, 95.94, 53.89, 64.02, 35.31,   152,0.3964
H1,01-Oct-2001,30-Sep-2002, 200, 500,163.85, 46.04,270.33, 52.27,     9,0.1195
H1,01-Oct-2002,30-Sep-2003,   0,10000,144.44,243.16, 71.82,122.17,   365,0.6448
H1,01-Oct-2002,30-Sep-2003,   0,  20, 20.55, 96.58,  0.66,  2.43,   172,-0.0456
H1,01-Oct-2002,30-Sep-2003,  20, 200,182.29,171.40, 89.26, 44.05,   163,0.6569
H1,01-Oct-2002,30-Sep-2003, 200, 500,650.48,426.59,314.40, 92.89,    25,-0.0270
H1,01-Oct-2003,30-Sep-2004,   0,10000,136.54,308.50, 41.74,124.95,   366,0.5897
H1,01-Oct-2003,30-Sep-2004,   0,  20, 10.00, 21.16,  1.35,  3.49,   249,0.4646
H1,01-Oct-2003,30-Sep-2004,  20, 200,288.63,341.53, 67.85, 45.57,    99,0.6555
H1,01-Oct-2003,30-Sep-2004, 200, 500,1079.64,374.70,292.53, 83.08,    15,-0.3244
H1,01-Oct-2004,30-Sep-2005,   0,10000,215.49,369.51,159.19,276.02,   365,0.6201
H1,01-Oct-2004,30-Sep-2005,   0,  20, 23.32, 54.81,  1.52,  3.92,   178,-0.1259
H1,01-Oct-2004,30-Sep-2005,  20, 200,152.10,124.88, 99.29, 57.40,    93,0.8919
H1,01-Oct-2004,30-Sep-2005, 200, 500,480.53,356.94,316.21, 80.39,    61,0.3023
H1,01-Oct-2005,30-Sep-2006,   0,10000,171.09,275.21,158.79,330.92,   365,0.6875
H1,01-Oct-2005,30-Sep-2006,   0,  20, 36.02,120.41,  1.51,  4.22,   174,-0.0022
H1,01-Oct-2005,30-Sep-2006,  20, 200,135.02,101.20, 85.68, 46.18,   116,0.7363
H1,01-Oct-2005,30-Sep-2006, 200, 500,425.07, 92.09,376.07, 80.56,    46,0.0969
H1,01-Oct-2006,30-Sep-2007,   0,10000, 33.76, 60.98,  8.94, 23.69,   365,0.5423
H1,01-Oct-2006,30-Sep-2007,   0,  20, 24.18, 51.42,  2.30,  4.60,   321,0.1956
H1,01-Oct-2006,30-Sep-2007,  20, 200, 97.98, 73.00, 51.57, 36.04,    46,0.6550
H1,01-Oct-2007,30-Sep-2008,   0,10000,145.43,404.97, 58.58,175.93,   366,0.7192
H1,01-Oct-2007,30-Sep-2008,   0,  20, 11.23, 24.42,  1.83,  4.31,   263,0.7766
H1,01-Oct-2007,30-Sep-2008,  20, 200,209.17,185.17, 79.72, 49.05,    74,0.5700
H1,01-Oct-2007,30-Sep-2008, 200, 500,1039.54,680.69,321.38, 81.18,    21,0.4465
H1,01-Oct-2008,30-Sep-2009,   0,10000, 66.04,171.93, 54.10,173.29,   365,0.6524
H1,01-Oct-2008,30-Sep-2009,   0,  20, 16.95, 33.57,  1.63,  4.34,   266,-0.0955
H1,01-Oct-2008,30-Sep-2009,  20, 200,100.28, 58.35, 69.29, 45.50,    72,0.8970
H1,01-Oct-2008,30-Sep-2009, 200, 500,302.11,266.75,312.71, 84.71,    21,0.2832
H1,01-Oct-2009,30-Sep-2010,   0,10000,118.27,191.15,141.92,232.08,   365,0.8395
H1,01-Oct-2009,30-Sep-2010,   0,  20,  3.23,  8.46,  7.10,  6.21,   140,0.5029
H1,01-Oct-2009,30-Sep-2010,  20, 200, 78.10,135.78, 81.75, 53.82,   133,0.5557
H1,01-Oct-2009,30-Sep-2010, 200, 500,288.27,118.52,309.32, 78.33,    74,0.5249
H1,01-Oct-2010,30-Sep-2011,   0,10000,110.83,227.11,153.63,306.41,   365,0.7473
H1,01-Oct-2010,30-Sep-2011,   0,  20,  7.40, 22.95,  7.45,  5.88,   142,0.3727
H1,01-Oct-2010,30-Sep-2011,  20, 200, 68.10, 53.00, 86.10, 45.09,   146,0.8198
H1,01-Oct-2010,30-Sep-2011, 200, 500,266.63,226.43,301.76, 79.64,    51,0.5252
H1,01-Oct-2011,30-Sep-2012,   0,10000, 37.30, 72.03, 22.58, 32.28,   366,0.7517
H1,01-Oct-2011,30-Sep-2012,   0,  20,  8.94, 15.03,  8.11,  6.59,   275,0.5712
H1,01-Oct-2011,30-Sep-2012,  20, 200,119.02,101.95, 64.34, 39.30,    95,0.4926
H1,01-Oct-2012,30-Sep-2013,   0,10000, 53.77,121.41, 32.33, 82.44,   365,0.5580
H1,01-Oct-2012,30-Sep-2013,   0,  20,  8.29, 46.03,  2.15,  5.13,   251,0.2434
H1,01-Oct-2012,30-Sep-2013,  20, 200,132.34,130.12, 63.65, 44.23,   109,0.4647
H1,01-Oct-2012,30-Sep-2013, 200, 500,272.04,316.06,319.00, 76.69,     9,-0.1460
H1,01-Oct-2013,30-Sep-2014,   0,10000, 21.50,102.75,  0.04,  0.24,   365,0.2325
H1,01-Oct-2013,30-Sep-2014,   0,  20, 21.50,102.75,  0.04,  0.24,   365,0.2325
H1,01-Oct-2014,30-Sep-2015,   0,10000, 63.27,176.10, 18.54, 51.79,   365,0.3770
H1,01-Oct-2014,30-Sep-2015,   0,  20, 27.94,121.10,  3.80,  5.58,   298,0.1047
H1,01-Oct-2014,30-Sep-2015,  20, 200,213.37,275.33, 63.24, 44.39,    66,0.4627
H1,01-Oct-2014,30-Sep-2015, 200, 500,224.34,101.25,263.50, 69.98,     4,0.3305
ALP,01-Oct-1994,30-Sep-1995,   0,10000,408.07,585.41,468.90,602.79,    83,0.3101
ALP,01-Oct-1994,30-Sep-1995,  20, 200,154.68, 58.07,142.43, 31.74,    30,0.3073
ALP,01-Oct-1994,30-Sep-1995, 200, 500,282.40,168.30,326.21, 67.53,    29,0.4390
ALP,01-Oct-1997,30-Sep-1998,   0,10000,416.57,726.00,332.13,446.74,   143,0.6642
ALP,01-Oct-1997,30-Sep-1998,   0,  20, 89.20, 18.27, 14.00,  2.76,    12,0.5245
ALP,01-Oct-1997,30-Sep-1998,  20, 200,184.92, 83.59,123.75, 53.62,    61,0.2431
ALP,01-Oct-1997,30-Sep-1998, 200, 500,347.07,254.21,283.84, 81.29,    43,0.0655
Los_Padres_Res,01-Oct-2001,30-Sep-2002,   0,10000, 32.69, 39.27, 34.07, 44.09,   365,0.7175
Los_Padres_Res,01-Oct-2001,30-Sep-2002,   0,  20,  7.67, 16.71,  9.70,  3.71,   194,0.1887
Los_Padres_Res,01-Oct-2001,30-Sep-2002,  20, 200, 57.35, 35.41, 52.31, 30.55,   168,0.6445
Los_Padres_Res,01-Oct-2001,30-Sep-2002, 200, 500,123.94, 54.08,263.71, 39.92,     7,-0.4637
Los_Padres_Res,01-Oct-2002,30-Sep-2003,   0,10000, 79.37,147.26, 56.58, 78.63,   365,0.6411
Los_Padres_Res,01-Oct-2002,30-Sep-2003,   0,  20,  6.07,  3.06, 11.77,  3.96,   159,0.5686
Los_Padres_Res,01-Oct-2002,30-Sep-2003,  20, 200,100.90, 86.97, 67.60, 37.36,   193,0.7069
Los_Padres_Res,01-Oct-2002,30-Sep-2003, 200, 500,449.99,402.02,270.68, 60.90,    19,0.2216
Los_Padres_Res,01-Oct-2003,30-Sep-2004,   0,10000, 60.07,130.51, 35.34, 78.29,   366,0.6500
Los_Padres_Res,01-Oct-2003,30-Sep-2004,   0,  20,  8.16,  8.74,  9.08,  3.20,   243,0.4997
Los_Padres_Res,01-Oct-2003,30-Sep-2004,  20, 200,135.69,148.55, 55.96, 39.53,   114,0.7014
Los_Padres_Res,01-Oct-2003,30-Sep-2004, 200, 500,377.46,241.06,298.88, 93.77,     8,-0.0446
Los_Padres_Res,01-Oct-2004,30-Sep-2005,   0,10000,106.51,186.88,102.45,167.60,   365,0.7384
Los_Padres_Res,01-Oct-2004,30-Sep-2005,   0,  20, 10.81, 19.87, 12.77,  3.37,   165,-0.0646
Los_Padres_Res,01-Oct-2004,30-Sep-2005,  20, 200,104.79, 85.32, 82.05, 50.14,   151,0.8150
Los_Padres_Res,01-Oct-2004,30-Sep-2005, 200, 500,311.13,194.24,301.45, 78.71,    38,0.3714
Los_Padres_Res,01-Oct-2005,30-Sep-2006,   0,10000, 86.44,151.84,103.30,190.68,   365,0.7025
Los_Padres_Res,01-Oct-2005,30-Sep-2006,   0,  20,  9.37, 30.02, 11.36,  2.97,   168,-0.0629
Los_Padres_Res,01-Oct-2005,30-Sep-2006,  20, 200, 81.39, 51.57, 65.51, 40.98,   137,0.7861
Los_Padres_Res,01-Oct-2005,30-Sep-2006, 200, 500,269.11,112.18,294.56, 75.32,    43,0.1234
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,10000, 16.16, 19.96, 12.49, 17.63,   365,0.5688
Los_Padres_Res,01-Oct-2006,30-Sep-2007,   0,  20, 12.88, 16.04,  8.15,  3.88,   324,0.4738
Los_Padres_Res,01-Oct-2006,30-Sep-2007,  20, 200, 43.29, 27.96, 45.51, 36.30,    43,0.4911
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,10000, 55.93,157.70, 45.20,110.86,   366,0.7256
Los_Padres_Res,01-Oct-2007,30-Sep-2008,   0,  20,  6.35,  4.63,  6.99,  4.35,   243,0.7021
Los_Padres_Res,01-Oct-2007,30-Sep-2008,  20, 200, 97.18, 50.05, 63.05, 43.61,   106,0.8874
Los_Padres_Res,01-Oct-2007,30-Sep-2008, 200, 500,356.18,349.69,309.82, 78.40,    11,0.1203
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,10000, 41.78,100.47, 49.18,126.34,   365,0.7424
Los_Padres_Res,01-Oct-2008,30-Sep-2009,   0,  20,  7.82,  9.44,  8.66,  3.72,   231,-0.0677
Los_Padres_Res,01-Oct-2008,30-Sep-2009,  20, 200, 59.68, 41.67, 53.95, 39.93,   118,0.8501
Los_Padres_Res,01-Oct-2008,30-Sep-2009, 200, 500,233.97,183.29,318.23, 98.93,    13,0.3117
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,10000, 76.75,118.92, 97.22,137.01,   365,0.7713
Los_Padres_Res,01-Oct-2009,30-Sep-2010,   0,  20,  5.01,  1.73, 14.71,  3.28,   105,0.3953
Los_Padres_Res,01-Oct-2009,30-Sep-2010,  20, 200, 62.43, 66.68, 74.04, 51.35,   219,0.9120
Los_Padres_Res,01-Oct-2009,30-Sep-2010, 200, 500,249.08,151.89,289.87, 74.51,    45,-0.0955
Los_Padres_Res,01-Oct-2010,30-Sep-2011,   0,10000, 69.54,136.51,101.09,173.82,   365,0.7656
Los_Padres_Res,01-Oct-2010,30-Sep-2011,   0,  20,  7.33,  6.69, 15.26,  1.67,   146,0.0689
Los_Padres_Res,01-Oct-2010,30-Sep-2011,  20, 200, 59.48, 39.56, 76.47, 47.54,   173,0.8103
Los_Padres_Res,01-Oct-2010,30-Sep-2011, 200, 500,210.44,134.16,283.61, 74.28,    33,0.4207
Los_Padres_Res,01-Oct-2011,30-Sep-2012,   0,10000, 12.38, 23.92, 16.88,  9.98,   122,0.4531
Los_Padres_Res,01-Oct-2011,30-Sep-2012,   0,  20, 10.16, 20.66, 14.70,  1.60,   115,-0.0355
Los_Padres_Res,01-Oct-2011,30-Sep-2012,  20, 200, 48.96, 42.08, 52.57, 19.54,     7,0.7143
DJ,01-Oct-1992,30-Sep-1993,   0,10000,190.90,470.17,168.72,392.54,   365,0.7866
DJ,01-Oct-1992,30-Sep-1993,   0,  20, 14.92, 35.00,  4.69,  3.71,   187,-0.0236
DJ,01-Oct-1992,30-Sep-1993,  20, 200,134.27,132.34, 84.17, 56.03,   103,0.7708
DJ,01-Oct-1992,30-Sep-1993, 200, 500,397.10,152.14,310.86, 82.53,    44,0.1818
DJ,01-Oct-1993,30-Sep-1994,   0,10000, 42.40, 57.16, 17.62, 45.12,   365,0.6477
DJ,01-Oct-1993,30-Sep-1994,   0,  20, 27.22, 34.81,  6.27,  5.34,   309,0.7437
DJ,01-Oct-1993,30-Sep-1994,  20, 200,113.20, 72.30, 55.28, 40.33,    53,0.7217
DJ,01-Oct-1993,30-Sep-1994, 200, 500,260.53, 57.11,262.75, 39.81,     4,0.2840
DJ,01-Oct-1994,30-Sep-1995,   0,10000,220.60,468.35,239.80,663.39,   365,0.5471
DJ,01-Oct-1994,30-Sep-1995,   0,  20, 16.92, 17.48,  5.49,  4.88,   166,-0.3944
DJ,01-Oct-1994,30-Sep-1995,  20, 200,143.52, 93.89,105.92, 56.13,   118,0.8577
DJ,01-Oct-1994,30-Sep-1995, 200, 500,368.36,134.72,291.68, 78.74,    37,0.8007
DJ,01-Oct-1995,30-Sep-1996,   0,10000,112.31,226.57,114.45,236.25,   366,0.7169
DJ,01-Oct-1995,30-Sep-1996,   0,  20,  4.88,  6.66, 10.43,  3.69,   186,0.6452
DJ,01-Oct-1995,30-Sep-1996,  20, 200,128.42,110.66, 86.92, 52.82,   131,0.3883
DJ,01-Oct-1995,30-Sep-1996, 200, 500,293.49,113.57,312.07, 88.34,    28,0.6760
DJ,01-Oct-1996,30-Sep-1997,   0,10000,120.74,240.11,154.38,369.80,   365,0.6844
DJ,01-Oct-1996,30-Sep-1997,   0,  20,  3.13,  5.25,  7.43,  3.61,   183,0.0353
DJ,01-Oct-1996,30-Sep-1997,  20, 200,108.12,120.86, 68.46, 46.94,   117,0.6464
DJ,01-Oct-1996,30-Sep-1997, 200, 500,362.44,153.09,318.14, 81.16,    36,0.2303
DJ,01-Oct-1997,30-Sep-1998,   0,10000,315.03,689.29,348.39,718.44,   365,0.7751
DJ,01-Oct-1997,30-Sep-1998,   0,  20, 16.35, 31.44,  8.54,  6.10,    82,-0.0605
DJ,01-Oct-1997,30-Sep-1998,  20, 200,103.10,127.91, 83.22, 52.08,   144,0.4521
DJ,01-Oct-1997,30-Sep-1998, 200, 500,335.27, 94.76,314.32, 78.78,    71,0.6223
DJ,01-Oct-1998,30-Sep-1999,   0,10000, 65.72, 78.78, 74.00,103.35,   365,0.7263
DJ,01-Oct-1998,30-Sep-1999,   0,  20,  3.89,  1.67,  9.27,  4.76,   103,0.9096
DJ,01-Oct-1998,30-Sep-1999,  20, 200, 72.13, 65.88, 71.87, 52.79,   237,0.8228
DJ,01-Oct-1998,30-Sep-1999, 200, 500,225.27, 62.48,263.89, 55.82,    27,0.1478
DJ,01-Oct-1999,30-Sep-2000,   0,10000,100.01,175.91,101.87,232.62,   366,0.5757
DJ,01-Oct-1999,30-Sep-2000,   0,  20,  7.81,  7.28,  9.11,  3.34,   205,0.2843
DJ,01-Oct-1999,30-Sep-2000,  20, 200,126.18,109.16, 79.76, 46.77,   116,0.7613
DJ,01-Oct-1999,30-Sep-2000, 200, 500,452.56,242.24,355.27, 88.02,    26,0.4662
DJ,01-Oct-2000,30-Sep-2001,   0,10000,102.51,198.54, 68.18,144.30,   365,0.7394
DJ,01-Oct-2000,30-Sep-2001,   0,  20, 13.03, 16.30, 10.58,  5.01,   207,0.5421
DJ,01-Oct-2000,30-Sep-2001,  20, 200,145.84,106.35, 76.18, 42.77,   130,0.5532
DJ,01-Oct-2000,30-Sep-2001, 200, 500,390.63,195.87,279.77, 64.85,    26,0.1643
DJ,01-Oct-2001,30-Sep-2002,   0,10000, 55.71, 69.27, 43.28, 58.28,   365,0.5935
