Volume	Area	Stage
138149.8	25494.8	289.6
146044.0	26304.2	289.7
153938.3	26708.9	289.9
161955.9	27518.2	290.1
169850.2	27922.9	290.3
177744.5	28732.3	290.5
185638.7	29137.0	290.7
193533.0	29946.3	290.8
201550.6	30351.0	291.0
209444.9	31160.4	291.2
217339.2	31969.7	291.4
225233.4	32374.4	291.6
233127.7	33183.8	291.8
241145.3	33588.4	291.9
249039.6	34397.8	292.1
256933.9	34802.5	292.3
264828.2	35611.8	292.5
270625.5	36421.2	292.7
271859.0	37635.2	292.9
273215.8	39254.0	293.0
274572.6	40468.0	293.2
275929.5	41682.0	293.4
277286.3	42896.1	293.6
278519.8	44514.8	293.8
279876.6	45728.8	293.9
281233.4	46942.9	294.1
289251.1	47752.2	294.3
297268.7	48561.6	294.5
305163.0	49371.0	294.7
313180.6	50585.0	294.9
321198.2	51394.4	295.0
329215.8	52203.7	295.2
337233.4	53013.1	295.4
345127.7	53822.4	295.6
356599.1	55845.8	295.8
369797.3	57869.2	296.0
382995.5	59892.6	296.1
396193.8	62320.7	296.3
409268.7	64344.1	296.5
422466.9	66772.2	296.7
435665.1	68795.6	296.9
448863.4	70819.0	297.1
461321.5	72842.4	297.2
472669.5	74056.4	297.4
483894.2	75675.2	297.6
495118.9	76889.2	297.8
506343.5	78103.2	298.0
517568.2	79317.3	298.2
528916.2	80936.0	298.3
540140.9	82150.0	298.5
551365.6	83364.1	298.7
573814.9	84982.8	298.9
596387.6	86601.5	299.1
618836.9	88624.9	299.3
641409.6	90243.6	299.4
663858.9	91862.4	299.6
686308.3	93481.1	299.8
708881.0	95099.8	300.0
731330.3	97123.2	300.2
746008.7	98337.2	300.3
756616.6	99551.3	300.5
767224.6	101170.0	300.7
777955.8	102384.0	300.9
788563.8	103598.1	301.1
799295.0	104812.1	301.3
809903.0	106430.8	301.4
820510.9	107644.9	301.6
833339.1	108858.9	301.8
850607.8	109668.3	302.0
867753.2	110477.6	302.2
884898.6	111287.0	302.4
902043.9	112096.4	302.5
919189.3	113310.4	302.7
936458.0	114119.8	302.9
953603.4	114929.1	303.1
970748.8	115738.5	303.3
991964.6	116952.5	303.5
1013057.1	118166.6	303.6
1034273.0	119785.3	303.8
1055365.5	120999.3	304.0
1076581.3	122213.4	304.2
1097797.2	123427.4	304.4
1118889.7	125046.1	304.6
1140105.6	126260.2	304.7
1165638.6	127474.2	304.9
1193515.2	128283.6	305.1
1221391.9	129497.6	305.3
1249145.2	130711.6	305.5
1277021.8	131521.0	305.7
1304775.1	132735.0	305.8
1332651.8	133949.1	306.0
1360528.4	134758.4	306.2
1387665.0	135972.5	306.4
1413321.4	137186.5	306.6
1567876.4	143661.4	307.7
1593656.2	144875.4	307.8
1624123.1	146089.5	308.0
1654590.1	147303.5	308.2
1685180.4	148517.6	308.4
1715647.3	149731.6	308.6
1746114.3	151350.3	308.8
1776581.2	152564.4	308.9
1807048.2	153778.4	309.1
1837638.5	154992.4	309.3
1865268.5	156611.2	309.5
1891664.9	158229.9	309.7
1918061.4	160253.3	309.9
1944334.5	161872.0	310.0
1970731.0	163490.7	310.2
1997004.1	165109.4	310.4
2023400.6	167132.8	310.6
2049797.1	168751.6	310.8
2078413.8	170370.3	311.0
2111471.1	171584.3	311.1
2144651.7	173203.0	311.3
2177832.3	174417.1	311.5
2211012.9	175631.1	311.7
2244193.5	176845.2	311.9
2277250.8	178463.9	312.1
2310431.4	179677.9	312.2
2343612.0	180892.0	312.4
2381973.2	184129.4	312.6
2420334.5	186962.2	312.8
2458572.3	190199.6	313.0
2496933.6	193032.4	313.2
2535294.8	196269.8	313.3
2573656.0	199102.6	313.5
2612017.2	202340.0	313.7
2650255.1	205172.8	313.9
2691823.4	207600.8	314.1
2734871.9	209219.6	314.2
2777920.3	210838.3	314.4
2820968.8	212457.0	314.6
2864140.6	214480.4	314.8
2907189.0	216099.1	315.0
2950237.5	217717.8	315.2
2993285.9	219336.6	315.3
3034854.2	221360.0	315.5
3073092.1	223383.4	315.7
3111453.3	225811.4	315.9
3149814.5	227834.8	316.1
3188175.8	229858.2	316.3
3226537.0	232286.3	316.4
3264774.9	234309.7	316.6
3303136.1	236737.8	316.8
3341497.3	238761.2	317.0
3834420.6	265470.1	319.0
3887484.9	267898.2	319.2
3940549.2	270326.2	319.4
3993613.5	272754.3	319.6
4046677.8	275182.4	319.7
