Gage, Year, Month, Cutoff Low (cfs), Cutoff High (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,  1992,    10,     0,    20,  16.81,  0.35,  0.00,  0.00,     31, 
H1,  1992,    11,     0,    20,  24.94, 13.02,  0.00,  0.00,     30, 
H1,  1992,    12,     0,    20,  29.42, 25.04,  0.00,  0.00,     31, 
H1,  1993,    10,     0,    20,  13.47,  2.69,  0.00,  0.00,     31, 
H1,  1993,    11,     0,    20,  16.25, 19.32,  0.00,  0.00,     30, 
H1,  1993,    12,     0,    20,  22.78, 15.30,  0.00,  0.00,     31, 
H1,  1993,     1,   200,   500, 815.95,359.64,395.00, 68.24,      9, 0.07207
H1,  1993,     1,    20,   200, 125.91,  1.94, 36.33, 10.02,      3, -0.27147
H1,  1993,     1,     0,    20, 125.95,  2.97,  9.57,  4.07,      3, 0.68417
H1,  1993,     2,   200,   500, 511.15,179.18,292.61, 72.99,     18, 0.28557
H1,  1993,     3,   200,   500, 319.41,114.23,308.32, 84.34,     25, 0.62545
H1,  1993,     4,   200,   500, 208.65,  4.13,224.75, 21.61,      4, -0.91464
H1,  1993,     4,    20,   200, 139.87, 65.61,127.93, 33.85,     27, 0.90007
H1,  1993,     5,    20,   200,  49.08,  9.30, 50.58, 17.01,     31, 0.96626
H1,  1993,     6,    20,   200,  25.78,  2.91, 36.67, 12.90,     18, 0.68255
H1,  1993,     6,     0,    20,  19.47,  1.63, 12.75,  4.65,     12, 0.94792
H1,  1993,     7,     0,    20,  16.14,  1.26,  0.47,  1.11,     31, 0.16148
H1,  1993,     8,     0,    20,  11.70,  0.49,  0.00,  0.01,     31, 0.47806
H1,  1993,     9,     0,    20,  16.16, 14.36,  0.00,  0.00,     30, 
H1,  1994,    10,     0,    20,  10.41,  0.46,  0.00,  0.00,     31, 
H1,  1994,    11,     0,    20,  12.21,  0.99,  0.00,  0.00,     30, 
H1,  1994,    12,     0,    20,  14.60,  0.25,  0.00,  0.00,     31, 
H1,  1994,     1,     0,    20,  20.88,  5.89,  0.01,  0.02,     31, -0.17429
H1,  1994,     2,   200,   500, 451.78, 83.72,258.00, 65.05,      3, 0.54399
H1,  1994,     2,    20,   200, 325.37,220.52,103.60, 55.43,     10, 0.62771
H1,  1994,     2,     0,    20,  24.54,  5.27,  5.06,  6.44,     14, -0.6346
H1,  1994,     3,    20,   200, 272.20, 91.98, 38.46, 17.38,     26, 0.98156
H1,  1994,     3,     0,    20, 123.07, 54.89, 17.14,  3.89,      7, 0.62451
H1,  1994,     4,     0,    20,  65.14, 10.66,  5.36,  2.45,     30, 0.36881
H1,  1994,     5,     0,    20,  50.80, 12.51,  3.25,  2.12,     31, 0.69406
H1,  1994,     6,     0,    20,  19.17,  3.40,  0.03,  0.07,     30, 0.76999
H1,  1994,     7,     0,    20,  11.81,  1.57,  0.00,  0.00,     31, 
H1,  1994,     8,     0,    20,   9.30,  0.53,  0.00,  0.00,     31, 
H1,  1994,     9,     0,    20,   9.27,  0.21,  0.00,  0.00,     30, 
H1,  1995,    10,     0,    20,   8.75,  0.44,  0.00,  0.00,     31, 
H1,  1995,    11,     0,    20,  14.51, 13.93,  0.15,  0.34,     30, -0.028162
H1,  1995,    12,    20,   200,  26.26, 13.02, 27.22,  4.40,     18, -0.31665
H1,  1995,    12,     0,    20,  10.91,  0.37,  5.62,  4.19,     13, 0.55432
H1,  1995,     1,     0,    20,  98.07,114.77,  1.51,  4.24,      8, 0.52109
H1,  1995,     2,   200,   500, 714.92,163.81,286.57, 79.91,     14, 0.53352
H1,  1995,     2,    20,   200, 256.89, 87.52,145.29, 29.10,     14, 0.94414
H1,  1995,     3,    20,   200, 143.97,  1.04,137.38, 21.88,      8, -0.95675
H1,  1995,     4,   200,   500, 346.65,267.62,296.57, 73.35,     23, 0.82854
H1,  1995,     4,    20,   200, 168.07, 27.97,188.00, 11.96,      5, 0.51005
H1,  1995,     5,   200,   500, 149.32, 23.77,233.25, 28.37,     12, -0.013014
H1,  1995,     5,    20,   200, 159.58, 28.25,157.95, 27.17,     19, -0.13314
H1,  1995,     6,    20,   200,  53.37, 28.06, 87.13, 21.05,     30, 0.68731
H1,  1995,     7,    20,   200,  21.07,  6.20, 32.76, 11.50,     21, 0.99039
H1,  1995,     7,     0,    20,  12.23,  0.96, 15.62,  3.45,     13, 0.49402
H1,  1995,     8,     0,    20,   9.96,  1.38,  3.06,  3.48,     31, 0.56477
H1,  1995,     9,     0,    20,   8.67,  0.06,  0.03,  0.05,     30, 0.14553
H1,  1996,    10,     0,    20,   9.71,  0.99,  0.00,  0.00,     31, 0.12376
H1,  1996,    11,     0,    20,  13.76,  1.65,  0.58,  2.00,     30, 0.29687
H1,  1996,    12,   200,   500, 391.30, 35.06,311.27, 83.14,     11, 0.17179
H1,  1996,    12,    20,   200, 219.73,218.40, 85.12, 67.60,      8, 0.96773
H1,  1996,    12,     0,    20,  15.41,  0.01, 14.40,  2.07,      5, 0.049452
H1,  1996,     1,   200,   500, 137.30,  5.23,231.00, 33.78,      3, 0.60755
H1,  1996,     1,    20,   200,  59.01, 35.29, 71.75, 62.18,     28, 0.86289
H1,  1996,     2,   200,   500, 331.64,140.55,328.89, 96.50,      9, -0.049364
H1,  1996,     2,    20,   200, 231.77, 11.16,159.43, 23.68,      7, 0.87672
H1,  1996,     3,   200,   500, 385.51, 88.94,319.41, 89.14,     17, 0.87217
H1,  1996,     3,    20,   200, 221.44,  4.85,186.67,  9.61,      3, 0.9957
H1,  1996,     4,   200,   500, 216.43,  3.89,245.25, 51.23,      4, -0.58132
H1,  1996,     4,    20,   200, 186.34, 52.76,128.77, 28.41,     26, 0.6368
H1,  1996,     5,    20,   200,  51.62, 19.39, 68.77, 26.39,     31, -0.33769
H1,  1996,     6,    20,   200,  47.54, 12.90, 40.36, 10.86,     11, 0.92621
H1,  1996,     6,     0,    20,  23.47,  4.65, 12.24,  3.43,     19, 0.93088
H1,  1996,     7,     0,    20,  12.80,  5.17,  2.86,  2.14,     31, 0.13742
H1,  1996,     8,     0,    20,   9.52,  0.18,  0.02,  0.03,     31, -0.71455
H1,  1996,     9,     0,    20,  10.14,  0.24,  0.00,  0.00,     30, 
H1,  1997,    10,     0,    20,   4.73,  0.84,  0.00,  0.00,     31, -0.1875
H1,  1997,    11,     0,    20,   7.32,  2.82,  0.35,  1.24,     30, 0.20138
H1,  1997,    12,    20,   200, 458.76,137.74, 77.81, 41.71,     27, 0.37689
H1,  1997,    12,     0,    20,  39.40, 39.58,  0.02,  0.04,      4, 0.99965
