Gage, Time Start, Time Stop, Cutoff min (cfs), Cutoff max (cfs), Average Simulated (cfs), Standard Deviation Simulated (cfs), Average Measured (cfs), Standard Deviation Measured (cfs), count, r2
H1,01-Oct-1992,30-Sep-1993,   0,10000,203.47,397.07,170.09,392.96,   365,0.8577
H1,01-Oct-1992,30-Sep-1993,   0,  20, 20.81, 18.83,  0.99,  3.44,   199,0.2218
H1,01-Oct-1992,30-Sep-1993,  20, 200, 77.72, 62.01, 73.30, 46.18,    79,0.8853
H1,01-Oct-1992,30-Sep-1993, 200, 500,452.93,263.72,311.23, 85.22,    56,0.4614
H1,01-Oct-1993,30-Sep-1994,   0,10000, 55.11, 99.49, 10.23, 41.13,   365,0.7003
H1,01-Oct-1993,30-Sep-1994,   0,  20, 26.00, 25.41,  1.39,  3.47,   327,0.7556
H1,01-Oct-1993,30-Sep-1994,  20, 200,286.97,138.32, 56.56, 43.37,    36,0.6348
H1,01-Oct-1993,30-Sep-1994, 200, 500,451.78, 83.72,258.00, 65.05,     3,0.5440
H1,01-Oct-1994,30-Sep-1995,   0,10000,246.66,432.65,247.93,693.21,   365,0.5482
H1,01-Oct-1994,30-Sep-1995,   0,  20, 15.25, 29.49,  1.79,  4.53,   174,0.0758
H1,01-Oct-1994,30-Sep-1995,  20, 200,109.94, 90.01,106.97, 54.13,    97,0.7996
H1,01-Oct-1994,30-Sep-1995, 200, 500,410.80,297.76,282.98, 75.65,    51,0.6205
H1,01-Oct-1995,30-Sep-1996,   0,10000,110.79,191.44,114.92,253.65,   366,0.7771
H1,01-Oct-1995,30-Sep-1996,   0,  20, 12.38,  7.43,  2.16,  4.18,   185,0.4970
H1,01-Oct-1995,30-Sep-1996,  20, 200, 91.77, 76.44, 81.44, 54.37,   124,0.8109
H1,01-Oct-1995,30-Sep-1996, 200, 500,327.76,124.99,304.97, 88.59,    33,0.5334
H1,01-Oct-1996,30-Sep-1997,   0,10000,175.70,338.47,154.74,374.94,   365,0.6467
H1,01-Oct-1996,30-Sep-1997,   0,  20, 10.24, 15.94,  1.35,  3.41,   207,0.1404
H1,01-Oct-1996,30-Sep-1997,  20, 200, 89.67,102.34, 76.84, 47.44,    87,0.8533
H1,01-Oct-1996,30-Sep-1997, 200, 500,704.82,302.23,325.79, 81.45,    38,0.1780
H1,01-Oct-1997,30-Sep-1998,   0,10000,342.77,583.51,388.02,908.98,   365,0.6763
H1,01-Oct-1997,30-Sep-1998,   0,  20,  8.21,  9.34,  4.00,  5.91,   107,0.0305
H1,01-Oct-1997,30-Sep-1998,  20, 200,150.59,196.76, 86.12, 51.92,   118,0.0854
H1,01-Oct-1997,30-Sep-1998, 200, 500,349.18,196.04,327.80, 80.81,    71,0.7178
H1,01-Oct-1998,30-Sep-1999,   0,10000, 85.31,129.21, 70.18,102.03,   365,0.7074
H1,01-Oct-1998,30-Sep-1999,   0,  20,  8.27,  2.27,  6.05,  7.05,   150,0.9340
H1,01-Oct-1998,30-Sep-1999,  20, 200,108.69,130.86, 83.24, 52.28,   192,0.7966
H1,01-Oct-1998,30-Sep-1999, 200, 500,345.45, 45.83,277.42, 73.26,    26,0.0765
H1,01-Oct-1999,30-Sep-2000,   0,10000,104.03,216.09,100.08,231.96,   366,0.6842
H1,01-Oct-1999,30-Sep-2000,   0,  20,  6.51,  6.72,  1.39,  3.64,   222,-0.0022
H1,01-Oct-1999,30-Sep-2000,  20, 200, 96.02, 80.87, 87.22, 46.54,    98,0.4573
H1,01-Oct-1999,30-Sep-2000, 200, 500,492.49,256.22,343.43, 96.70,    23,0.6151
H1,01-Oct-2000,30-Sep-2001,   0,10000,104.41,180.15, 59.20,139.11,   365,0.7791
H1,01-Oct-2000,30-Sep-2001,   0,  20,  5.84,  2.92,  1.85,  3.83,   224,0.4284
H1,01-Oct-2000,30-Sep-2001,  20, 200,177.13,111.58, 81.09, 40.68,   111,0.7029
H1,01-Oct-2000,30-Sep-2001, 200, 500,485.84,179.69,284.04, 65.48,    27,0.2873
H1,01-Oct-2001,30-Sep-2002,   0,10000, 52.02, 73.19, 34.34, 54.11,   365,0.7812
H1,01-Oct-2001,30-Sep-2002,   0,  20,  4.38,  2.98,  1.91,  4.96,   205,0.6155
H1,01-Oct-2001,30-Sep-2002,  20, 200,106.60, 71.07, 64.02, 35.31,   152,0.6001
H1,01-Oct-2001,30-Sep-2002, 200, 500,211.24, 71.03,270.33, 52.27,     9,-0.1293
H1,01-Oct-2002,30-Sep-2003,   0,10000,140.66,207.90, 71.82,122.17,   365,0.7705
H1,01-Oct-2002,30-Sep-2003,   0,  20, 12.35, 21.46,  0.66,  2.43,   172,-0.0869
H1,01-Oct-2002,30-Sep-2003,  20, 200,183.37,132.77, 89.26, 44.05,   163,0.7286
H1,01-Oct-2002,30-Sep-2003, 200, 500,636.81,237.05,314.40, 92.89,    25,0.6518
H1,01-Oct-2003,30-Sep-2004,   0,10000,124.18,233.49, 41.74,124.95,   366,0.6184
H1,01-Oct-2003,30-Sep-2004,   0,  20,  5.63,  5.25,  1.35,  3.49,   249,0.8142
H1,01-Oct-2003,30-Sep-2004,  20, 200,312.64,234.22, 67.85, 45.57,    99,0.5806
H1,01-Oct-2003,30-Sep-2004, 200, 500,676.06,259.26,292.53, 83.08,    15,0.1508
H1,01-Oct-2004,30-Sep-2005,   0,10000,211.02,313.45,159.19,276.02,   365,0.7426
