Gage_Name, Gage_No, Threshold_cfs, Oct_ExtWet, Nov_ExtWet, Dec_ExtWet, Jan_ExtWet, Feb_ExtWet, Mar_ExtWet, Apr_ExtWet, May_ExtWet, Jun_ExtWet, Jul_ExtWet, Aug_ExtWet, Sep_ExtWet,Oct_Wet, Nov_Wet, Dec_Wet, Jan_Wet, Feb_Wet, Mar_Wet, Apr_Wet, May_Wet, Jun_Wet, Jul_Wet, Aug_Wet, Sep_Wet,Oct_AboveNorm, Nov_AboveNorm, Dec_AboveNorm, Jan_AboveNorm, Feb_AboveNorm, Mar_AboveNorm, Apr_AboveNorm, May_AboveNorm, Jun_AboveNorm, Jul_AboveNorm, Aug_AboveNorm, Sep_AboveNorm,Oct_Norm, Nov_Norm, Dec_Norm, Jan_Norm, Feb_Norm, Mar_Norm, Apr_Norm, May_Norm, Jun_Norm, Jul_Norm, Aug_Norm, Sep_Norm,Oct_BelowNorm, Nov_BelowNorm, Dec_BelowNorm, Jan_BelowNorm, Feb_BelowNorm, Mar_BelowNorm, Apr_BelowNorm, May_BelowNorm, Jun_BelowNorm, Jul_BelowNorm, Aug_BelowNorm, Sep_BelowNorm,Oct_Dry, Nov_Dry, Dec_Dry, Jan_Dry, Feb_Dry, Mar_Dry, Apr_Dry, May_Dry, Jun_Dry, Jul_Dry, Aug_Dry, Sep_Dry,Oct_CritDry, Nov_CritDry, Dec_CritDry, Jan_CritDry, Feb_CritDry, Mar_CritDry, Apr_CritDry, May_CritDry, Jun_CritDry, Jul_CritDry, Aug_CritDry, Sep_CritDry,
ALP,17,20,0.00, 2.00, 15.50, 31.00, 28.00, 31.00, 30.00, 31.00, 23.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 5.00, 2.67, 17.00, 23.33, 28.33, 31.00, 20.67, 18.33, 2.00, 0.00, 0.00, 0.00, 5.00, 8.50, 10.67, 21.33, 28.33, 31.00, 29.17, 17.17, 1.33, 0.17, 0.17, 0.00, 0.00, 0.00, 16.00, 31.00, 28.50, 31.00, 21.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.00, 9.00, 26.00, 31.00, 30.00, 19.50, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
BL,1,20,0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
CA,16,20,0.00, 0.00, 0.00, 11.00, 20.00, 21.00, 17.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 0.00, 4.00, 6.33, 7.67, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.17, 0.00, 0.17, 0.83, 3.00, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2.50, 5.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
CL,14,20,0.00, 0.00, 9.50, 26.00, 22.00, 22.50, 16.00, 2.50, 0.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 5.67, 14.67, 17.67, 13.33, 9.00, 0.67, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 3.00, 8.17, 16.33, 17.17, 6.33, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5.50, 13.50, 11.50, 6.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6.00, 2.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
CR_blw_PI,56,20,0.00, 0.50, 15.50, 28.50, 28.00, 31.00, 30.00, 31.00, 30.00, 2.00, 0.50, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 3.33, 0.67, 14.67, 22.33, 28.33, 31.00, 24.67, 20.00, 4.33, 0.00, 0.00, 0.00, 5.00, 8.50, 10.33, 19.50, 28.00, 31.00, 30.00, 21.67, 7.33, 1.83, 0.50, 0.00, 0.00, 0.00, 13.50, 31.00, 28.50, 31.00, 28.00, 2.00, 0.00, 0.00, 0.00, 0.00, 0.50, 0.00, 4.00, 6.50, 28.00, 31.00, 30.00, 22.00, 5.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
Carmel_blw_Cachagua,62,20,0.00, 0.50, 15.50, 28.50, 28.00, 31.00, 30.00, 31.00, 28.50, 0.00, 0.50, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 4.00, 0.67, 15.00, 22.33, 28.33, 31.00, 23.33, 19.00, 3.33, 0.00, 0.00, 0.00, 5.00, 8.50, 10.33, 18.83, 28.17, 31.00, 29.83, 21.33, 3.67, 0.33, 0.33, 0.00, 0.00, 0.00, 13.50, 31.00, 28.50, 31.00, 25.50, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4.00, 3.00, 28.00, 31.00, 30.00, 20.50, 4.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
DJ,9,20,0.00, 0.50, 15.50, 28.50, 28.00, 31.00, 30.00, 31.00, 30.00, 12.00, 0.50, 0.00, 6.20,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 1.33, 1.67, 12.67, 23.00, 28.33, 31.00, 27.67, 23.67, 10.33, 0.00, 0.33, 1.00, 5.00, 8.50, 10.33, 22.67, 27.17, 31.00, 30.00, 24.67, 10.17, 5.17, 5.17, 5.00, 0.00, 0.00, 15.50, 31.00, 28.50, 31.00, 30.00, 8.50, 0.00, 0.00, 0.00, 0.00, 2.50, 1.00, 8.00, 15.50, 23.50, 31.00, 30.00, 22.00, 11.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
GA,8,20,0.00, 0.00, 6.50, 18.50, 16.50, 17.50, 11.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 4.33, 13.67, 11.00, 10.67, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 0.17, 0.00, 2.50, 3.83, 10.17, 4.67, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.50, 5.50, 6.50, 4.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
GC,7,20,0.00, 0.00, 6.00, 18.50, 16.50, 17.00, 11.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 4.33, 13.67, 11.00, 10.67, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 0.17, 0.00, 2.50, 3.83, 10.17, 4.67, 0.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 5.50, 6.50, 4.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
H1,2,20,0.00, 0.00, 15.00, 28.50, 28.00, 31.00, 30.00, 31.00, 30.00, 11.50, 0.00, 0.00, 0.00,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN,  NaN, 0.00, 0.00, 10.67, 23.00, 28.33, 31.00, 27.67, 20.67, 8.33, 0.00, 0.33, 1.00, 5.00, 7.83, 10.33, 18.83, 27.17, 31.00, 30.00, 23.00, 8.50, 1.83, 0.50, 0.00, 0.00, 0.00, 14.50, 31.00, 28.50, 31.00, 30.00, 1.50, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 3.50, 4.50, 18.50, 31.00, 30.00, 20.00, 5.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
