Gage,   Filename,  Threshold, WaterYear, WaterYearType,   +Oct, +Nov, +Dec, +Jan, +Feb, +Mar, +Apr, +May, +Jun, +Jul, +Aug, +Sep,     -Oct, -Nov, -Dec, -Jan, -Feb, -Mar, -Apr, -May, -Jun, -Jul, -Aug, -Sep
17,  ALP.gg18,     20.00,       1992,   Normal,     30,   30,   31,   31,   29,   31,   30,   15,    0,    1,    1,    0,        0,    0,    0,    0,    0,    0,    0,   16,   30,   30,   30,   30
17,  ALP.gg18,     20.00,       1993,   Wet,      0,    2,    2,   31,   28,   31,   30,   19,    0,    0,    0,    0,       31,   28,   29,    0,    0,    0,    0,   12,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       1994,   Dry,      0,    0,    4,    5,   28,   31,   30,   31,    3,    0,    0,    0,       31,   30,   27,   26,    0,    0,    0,    0,   27,   31,   31,   30
17,  ALP.gg18,     20.00,       1995,   Extremely Wet,      0,    0,    0,   31,   28,   31,   30,   31,   23,    0,    0,    0,       31,   30,   31,    0,    0,    0,    0,    0,    7,   31,   31,   30
17,  ALP.gg18,     20.00,       1996,   Wet,      0,    0,   16,   31,   29,   31,   30,   25,    4,    0,    0,    0,       31,   30,   15,    0,    0,    0,    0,    6,   26,   31,   31,   30
17,  ALP.gg18,     20.00,       1997,   Above Normal,      0,    8,   31,   31,   28,   31,    2,    0,    0,    0,    0,    0,       31,   22,    0,    0,    0,    0,   28,   31,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       1998,   Extremely Wet,      0,    4,   31,   31,   28,   31,   30,   31,   23,    0,    0,    0,       31,   26,    0,    0,    0,    0,    0,    0,    7,   31,   31,   30
17,  ALP.gg18,     20.00,       1999,   Normal,      0,    0,    2,   11,   28,   31,   30,   23,    0,    0,    0,    0,       31,   30,   29,   20,    0,    0,    0,    8,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       2000,   Above Normal,      0,    0,    0,    8,   29,   31,   30,   24,    0,    0,    0,    0,       31,   30,   31,   23,    0,    0,    0,    7,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       2001,   Normal,      0,    0,    0,   20,   28,   31,   30,   20,    0,    0,    0,    0,       31,   30,   31,   11,    0,    0,    0,   11,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       2002,   Below Normal,      0,    0,   29,   31,   28,   31,   17,    0,    0,    0,    0,    0,       31,   30,    2,    0,    0,    0,   13,   31,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       2003,   Normal,      0,   21,   31,   31,   28,   31,   30,   31,    8,    0,    0,    0,       31,    9,    0,    0,    0,    0,    0,    0,   22,   31,   31,   30
17,  ALP.gg18,     20.00,       2004,   Below Normal,      0,    0,    3,   31,   29,   31,   25,    0,    0,    0,    0,    0,       31,   30,   28,    0,    0,    0,    5,   31,   30,   31,   31,   30
17,  ALP.gg18,     20.00,       2005,   Wet,      0,    5,   24,   31,   28,   31,   30,   31,    1,    0,    0,    0,       31,   25,    7,    0,    0,    0,    0,    0,   29,   31,   31,   30
